Model;Decoration;K;Llk;AIC;BIC
JTT;+G;10;-2767,21806;5554,43612;5595,37181
JTT;+G+I;11;-2766,80029;5555,60058;5600,62984
JTT;+G+F;29;-2752,72968;5563,45936;5682,17288
JTT;+G+I+F;30;-2752,32867;5564,65734;5687,46443
LG;+G;10;-2775,40767;5570,81534;5611,75103
VT;+G;10;-2775,16116;5570,32232;5611,25801
LG;+G+I;11;-2775,23932;5572,47864;5617,50790
LG;+G+F;29;-2758,06023;5574,12046;5692,83398
WAG;+G+F;29;-2759,10906;5576,21812;5694,93164
VT;+G+F;29;-2759,50144;5577,00288;5695,71640
WAG;+G;10;-2780,18077;5580,36154;5621,29723
Dayhoff;+G+F;29;-2762,40753;5582,81506;5701,52858
DCMut;+G+F;29;-2762,42039;5582,84078;5701,55430
HIVb;+G+F;29;-2767,30291;5592,60582;5711,31934
MtZoa;+G+F;29;-2767,61026;5593,22052;5711,93404
CpREV;+G+F;29;-2768,13363;5594,26726;5712,98078
RtREV;+G+F;29;-2768,41742;5594,83484;5713,54836
Blosum62;+G;10;-2789,04040;5598,08080;5639,01649
Blosum62;+G+F;29;-2770,90179;5599,80358;5718,51710
Flu;+G+F;29;-2773,45705;5604,91410;5723,62762
CpREV;+G;10;-2793,65447;5607,30894;5648,24463
MtREV;+G+F;29;-2776,11692;5610,23384;5728,94736
MtMam;+G+F;29;-2780,47275;5618,94550;5737,65902
MtArt;+G+F;29;-2782,44643;5622,89286;5741,60638
Dayhoff;+G;10;-2801,90118;5623,80236;5664,73805
DCMut;+G;10;-2801,89767;5623,79534;5664,73103
HIVb;+G;10;-2803,31112;5626,62224;5667,55793
AB;+G+F;29;-2788,84229;5635,68458;5754,39810
RtREV;+G;10;-2812,41942;5644,83884;5685,77453
HIVw;+G+F;29;-2796,47931;5650,95862;5769,67214
Flu;+G;10;-2821,40739;5662,81478;5703,75047
MtZoa;+G;10;-2844,37151;5708,74302;5749,67871
AB;+G;10;-2856,89208;5733,78416;5774,71985
MtREV;+G;10;-2861,38370;5742,76740;5783,70309
MtMam;+G;10;-2872,66045;5765,32090;5806,25659
MtArt;+G;10;-2883,81415;5787,62830;5828,56399
HIVw;+G;10;-2896,81325;5813,62650;5854,56219
