Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;136;-64001,31025;128274,62050;129025,37239
LG;+G+F;135;-64006,53317;128283,06634;129028,29800
JTT;+G+I+F;136;-64038,60876;128349,21752;129099,96941
JTT;+G+I;117;-64113,52657;128461,05314;129106,92058
WAG;+G+I+F;136;-64126,54756;128525,09512;129275,84701
VT;+G+I+F;136;-64172,72490;128617,44980;129368,20169
LG;+G+I;117;-64272,95907;128779,91814;129425,78558
LG;+G;116;-64280,30078;128792,60156;129432,94876
VT;+G+I;117;-64288,86149;128811,72298;129457,59042
RtREV;+G+I+F;136;-64333,38084;128938,76168;129689,51357
Dayhoff;+G+I+F;136;-64430,38434;129132,76868;129883,52057
DCMut;+G+I+F;136;-64431,19002;129134,38004;129885,13193
CpREV;+G+I+F;136;-64507,80722;129287,61444;130038,36633
Blosum62;+G+I+F;136;-64668,02641;129608,05282;130358,80471
MtZoa;+G+I+F;136;-64898,57881;130069,15762;130819,90951
MtREV;+G+I+F;136;-65002,32215;130276,64430;131027,39619
Flu;+G+I+F;136;-65006,25394;130284,50788;131035,25977
HIVb;+G+I+F;136;-65044,03413;130360,06826;131110,82015
AB;+G+I+F;136;-65733,77968;131739,55936;132490,31125
MtArt;+G+I+F;136;-65788,73253;131849,46506;132600,21695
MtMam;+G+I+F;136;-66176,22963;132624,45926;133375,21115
HIVw;+G+I+F;136;-66619,86317;133511,72634;134262,47823
