Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;55;-12860,25204;25830,50408;26079,70234
JTT;+G+I+F;56;-12860,26694;25832,53388;26086,26302
VT;+G+F;55;-12885,57182;25881,14364;26130,34190
WAG;+G+F;55;-12888,78487;25887,56974;26136,76800
JTT;+G;36;-12913,58864;25899,17728;26062,28887
JTT;+G+I;37;-12913,60026;25901,20052;26068,84299
CpREV;+G+F;55;-12919,21139;25948,42278;26197,62104
LG;+G+F;55;-12947,40433;26004,80866;26254,00692
DCMut;+G+F;55;-12959,55982;26029,11964;26278,31790
Dayhoff;+G+F;55;-12960,02645;26030,05290;26279,25116
Blosum62;+G+F;55;-12974,20170;26058,40340;26307,60166
CpREV;+G;36;-13011,93255;26095,86510;26258,97669
MtREV;+G+F;55;-12999,61940;26109,23880;26358,43706
LG;+G;36;-13023,42163;26118,84326;26281,95485
LG;+G+I;37;-13023,44131;26120,88262;26288,52509
RtREV;+G+F;55;-13018,27344;26146,54688;26395,74514
HIVb;+G+F;55;-13022,37770;26154,75540;26403,95366
Flu;+G+F;55;-13026,05850;26162,11700;26411,31526
Blosum62;+G;36;-13049,49217;26170,98434;26334,09593
AB;+G+F;55;-13083,04293;26276,08586;26525,28412
MtZoa;+G+F;55;-13083,88808;26277,77616;26526,97442
HIVw;+G+F;55;-13170,18638;26450,37276;26699,57102
MtMam;+G+F;55;-13187,78132;26485,56264;26734,76090
MtArt;+G+F;55;-13222,45852;26554,91704;26804,11530
MtZoa;+G;36;-13251,62330;26575,24660;26738,35819
