Model;Decoration;K;Llk;AIC;BIC
LG;+G+I;45;-16213,65653;32517,31306;32720,14055
LG;+G;44;-16216,93877;32521,87754;32720,19775
JTT;+G+I;45;-16217,08570;32524,17140;32726,99889
JTT;+G+I+F;64;-16206,98964;32541,97928;32830,44505
LG;+G+I+F;64;-16208,72340;32545,44680;32833,91257
LG;+G+F;63;-16211,57819;32549,15638;32833,11487
VT;+G+I;45;-16245,32262;32580,64524;32783,47273
WAG;+G+I;45;-16249,10928;32588,21856;32791,04605
WAG;+G+I+F;64;-16238,33761;32604,67522;32893,14099
VT;+G+I+F;64;-16238,74843;32605,49686;32893,96263
CpREV;+G+I+F;64;-16265,77656;32659,55312;32948,01889
Dayhoff;+G+I+F;64;-16273,56693;32675,13386;32963,59963
DCMut;+G+I+F;64;-16273,93499;32675,86998;32964,33575
CpREV;+G+I;45;-16328,41739;32746,83478;32949,66227
RtREV;+G+I+F;64;-16317,17365;32762,34730;33050,81307
Blosum62;+G+I;45;-16355,79600;32801,59200;33004,41949
MtZoa;+G+I+F;64;-16354,17773;32836,35546;33124,82123
Blosum62;+G+I+F;64;-16363,43554;32854,87108;33143,33685
MtREV;+G+I+F;64;-16418,72831;32965,45662;33253,92239
HIVb;+G+I+F;64;-16442,14885;33012,29770;33300,76347
Flu;+G+I+F;64;-16478,00709;33084,01418;33372,47995
HIVb;+G+I;45;-16544,86561;33179,73122;33382,55871
AB;+G+I+F;64;-16574,56223;33277,12446;33565,59023
MtArt;+G+I+F;64;-16601,42438;33330,84876;33619,31453
MtZoa;+G+I;45;-16636,16560;33362,33120;33565,15869
MtMam;+G+I+F;64;-16669,28841;33466,57682;33755,04259
HIVw;+G+I+F;64;-16797,40183;33722,80366;34011,26943
MtREV;+G+I;45;-16893,75549;33877,51098;34080,33847
MtArt;+G+I;45;-17018,92559;34127,85118;34330,67867
