Model;Decoration;K;Llk;AIC;BIC
JTT;+G;34;-7517,57028;15103,14056;15263,54591
JTT;+G+I;35;-7517,58885;15105,17770;15270,30086
VT;+G;34;-7526,12081;15120,24162;15280,64697
LG;+G;34;-7528,52970;15125,05940;15285,46475
LG;+G+I;35;-7528,55366;15127,10732;15292,23048
WAG;+G;34;-7539,63768;15147,27536;15307,68071
JTT;+G+F;53;-7541,88395;15189,76790;15439,81154
JTT;+G+I+F;54;-7541,90484;15191,80968;15446,57113
WAG;+G+F;53;-7544,45212;15194,90424;15444,94788
Dayhoff;+G+F;53;-7550,13968;15206,27936;15456,32300
DCMut;+G+F;53;-7550,12455;15206,24910;15456,29274
Blosum62;+G;34;-7571,88126;15211,76252;15372,16787
LG;+G+F;53;-7554,34069;15214,68138;15464,72502
Dayhoff;+G;34;-7597,37313;15262,74626;15423,15161
DCMut;+G;34;-7597,31079;15262,62158;15423,02693
CpREV;+G;34;-7600,11741;15268,23482;15428,64017
CpREV;+G+F;53;-7589,04443;15284,08886;15534,13250
HIVb;+G+F;53;-7590,56517;15287,13034;15537,17398
RtREV;+G+F;53;-7597,22666;15300,45332;15550,49696
Flu;+G+F;53;-7600,42409;15306,84818;15556,89182
HIVb;+G;34;-7620,27007;15308,54014;15468,94549
MtZoa;+G+F;53;-7624,88463;15355,76926;15605,81290
RtREV;+G;34;-7645,39581;15358,79162;15519,19697
Flu;+G;34;-7647,56078;15363,12156;15523,52691
AB;+G+F;53;-7639,95075;15385,90150;15635,94514
MtREV;+G+F;53;-7644,35771;15394,71542;15644,75906
HIVw;+G+F;53;-7699,30342;15504,60684;15754,65048
MtArt;+G+F;53;-7704,37786;15514,75572;15764,79936
MtMam;+G+F;53;-7723,69820;15553,39640;15803,44004
AB;+G;34;-7775,18560;15618,37120;15778,77655
MtZoa;+G;34;-7832,74901;15733,49802;15893,90337
HIVw;+G;34;-7888,92133;15845,84266;16006,24801
MtREV;+G;34;-7895,88417;15859,76834;16020,17369
MtArt;+G;34;-7965,51947;15999,03894;16159,44429
MtMam;+G;34;-7985,30514;16038,61028;16199,01563
