Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I;59;-29357,96479;58833,92958;59129,27113
JTT;+G;58;-29361,25597;58838,51194;59128,84770
JTT;+G+F;77;-29348,73058;58851,46116;59236,90691
JTT;+G+I+F;78;-29347,70669;58851,41338;59241,86492
WAG;+G+I+F;78;-29365,43900;58886,87800;59277,32954
VT;+G+I;59;-29406,87169;58931,74338;59227,08493
LG;+G+I;59;-29410,79717;58939,59434;59234,93589
LG;+G+I+F;78;-29393,51724;58943,03448;59333,48602
LG;+G;58;-29415,71250;58947,42500;59237,76076
VT;+G+I+F;78;-29395,81360;58947,62720;59338,07874
WAG;+G+I;59;-29426,93020;58971,86040;59267,20195
CpREV;+G+I+F;78;-29458,37723;59072,75446;59463,20600
CpREV;+G+I;59;-29520,67684;59159,35368;59454,69523
Blosum62;+G+I;59;-29596,68500;59311,37000;59606,71155
RtREV;+G+I+F;78;-29580,86226;59317,72452;59708,17606
Blosum62;+G+I+F;78;-29585,94040;59327,88080;59718,33234
Dayhoff;+G+I+F;78;-29606,40760;59368,81520;59759,26674
DCMut;+G+I+F;78;-29606,85933;59369,71866;59760,17020
Flu;+G+I+F;78;-29667,14917;59490,29834;59880,74988
HIVb;+G+I+F;78;-29718,07726;59592,15452;59982,60606
MtREV;+G+I+F;78;-29749,96249;59655,92498;60046,37652
Dayhoff;+G+I;59;-29774,16877;59666,33754;59961,67909
DCMut;+G+I;59;-29774,15629;59666,31258;59961,65413
MtZoa;+G+I+F;78;-29807,49972;59770,99944;60161,45098
AB;+G+I+F;78;-29934,97476;60025,94952;60416,40106
HIVw;+G+I+F;78;-30126,93495;60409,86990;60800,32144
MtMam;+G+I+F;78;-30178,99999;60513,99998;60904,45152
MtArt;+G+I+F;78;-30254,93381;60665,86762;61056,31916
MtZoa;+G+I;59;-30323,19733;60764,39466;61059,73621
