Model;Decoration;K;Llk;AIC;BIC
JTT;+G;12;-1120,64523;2265,29046;2302,84924
JTT;+G+F;31;-1102,48735;2266,97470;2364,00156
JTT;+G+I;13;-1120,64852;2267,29704;2307,98572
JTT;+G+I+F;32;-1102,48809;2268,97618;2369,13293
CpREV;+G;12;-1124,20050;2272,40100;2309,95978
CpREV;+G+F;31;-1105,12591;2272,25182;2369,27868
VT;+G+F;31;-1105,59508;2273,19016;2370,21702
WAG;+G+F;31;-1106,33199;2274,66398;2371,69084
Dayhoff;+G+F;31;-1106,55995;2275,11990;2372,14676
DCMut;+G+F;31;-1106,54986;2275,09972;2372,12658
VT;+G;12;-1126,63110;2277,26220;2314,82098
LG;+G+F;31;-1108,43239;2278,86478;2375,89164
LG;+G;12;-1128,40079;2280,80158;2318,36036
Blosum62;+G;12;-1129,15621;2282,31242;2319,87120
LG;+G+I;13;-1128,40141;2282,80282;2323,49150
WAG;+G;12;-1130,56411;2285,12822;2322,68700
MtZoa;+G;12;-1131,47097;2286,94194;2324,50072
Blosum62;+G+F;31;-1113,24242;2288,48484;2385,51170
MtREV;+G+F;31;-1113,28873;2288,57746;2385,60432
RtREV;+G+F;31;-1114,41178;2290,82356;2387,85042
HIVb;+G+F;31;-1116,56061;2295,12122;2392,14808
MtZoa;+G+F;31;-1117,20846;2296,41692;2393,44378
Dayhoff;+G;12;-1137,51846;2299,03692;2336,59570
DCMut;+G;12;-1137,50365;2299,00730;2336,56608
MtREV;+G;12;-1139,70747;2303,41494;2340,97372
MtMam;+G+F;31;-1121,35723;2304,71446;2401,74132
Flu;+G+F;31;-1121,85537;2305,71074;2402,73760
AB;+G+F;31;-1124,73337;2311,46674;2408,49360
HIVb;+G;12;-1143,75688;2311,51376;2349,07254
RtREV;+G;12;-1144,61648;2313,23296;2350,79174
Flu;+G;12;-1146,63024;2317,26048;2354,81926
MtMam;+G;12;-1146,91599;2317,83198;2355,39076
HIVw;+G+F;31;-1128,07044;2318,14088;2415,16774
MtArt;+G;12;-1148,92517;2321,85034;2359,40912
MtArt;+G+F;31;-1131,83621;2325,67242;2422,69928
AB;+G;12;-1163,20143;2350,40286;2387,96164
HIVw;+G;12;-1170,18024;2364,36048;2401,91926
