Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;74;-26754,94187;53657,88374;54032,73912
JTT;+G+I+F;74;-26757,54840;53663,09680;54037,95218
LG;+G+F;73;-26760,56269;53667,12538;54036,91515
JTT;+G+I;55;-26787,23093;53684,46186;53963,07059
VT;+G+I+F;74;-26827,69106;53803,38212;54178,23750
LG;+G+I;55;-26868,68880;53847,37760;54125,98633
LG;+G;54;-26873,78591;53855,57182;54129,11494
VT;+G+I;55;-26876,18882;53862,37764;54140,98637
WAG;+G+I+F;74;-26857,87431;53863,74862;54238,60400
RtREV;+G+I+F;74;-26883,66572;53915,33144;54290,18682
Dayhoff;+G+I+F;74;-26961,21740;54070,43480;54445,29018
DCMut;+G+I+F;74;-26961,58214;54071,16428;54446,01966
Blosum62;+G+I+F;74;-27037,51402;54223,02804;54597,88342
CpREV;+G+I+F;74;-27045,39264;54238,78528;54613,64066
HIVb;+G+I+F;74;-27085,43953;54318,87906;54693,73444
Flu;+G+I+F;74;-27145,80400;54439,60800;54814,46338
MtZoa;+G+I+F;74;-27164,17329;54476,34658;54851,20196
MtREV;+G+I+F;74;-27236,27284;54620,54568;54995,40106
AB;+G+I+F;74;-27289,62186;54727,24372;55102,09910
MtArt;+G+I+F;74;-27496,78605;55141,57210;55516,42748
MtMam;+G+I+F;74;-27540,76681;55229,53362;55604,38900
HIVw;+G+I+F;74;-27649,70584;55447,41168;55822,26706
