Model;Decoration;K;Llk;AIC;BIC
VT;+G+I+F;80;-18238,02686;36636,05372;36996,15689
WAG;+G+I+F;80;-18241,25932;36642,51864;37002,62181
VT;+G+F;79;-18243,42265;36644,84530;37000,44718
JTT;+G+I+F;80;-18248,24746;36656,49492;37016,59809
LG;+G+I+F;80;-18251,68586;36663,37172;37023,47489
VT;+G+I;61;-18288,62143;36699,24286;36973,82152
JTT;+G+I;61;-18290,81612;36703,63224;36978,21090
VT;+G;60;-18296,64727;36713,29454;36983,37192
LG;+G+I;61;-18306,20353;36734,40706;37008,98572
LG;+G;60;-18317,33886;36754,67772;37024,75510
DCMut;+G+I+F;80;-18341,88577;36843,77154;37203,87471
Dayhoff;+G+I+F;80;-18342,05420;36844,10840;37204,21157
Blosum62;+G+I+F;80;-18345,75582;36851,51164;37211,61481
RtREV;+G+I+F;80;-18346,16858;36852,33716;37212,44033
CpREV;+G+I+F;80;-18351,82020;36863,64040;37223,74357
Blosum62;+G+I;61;-18387,84206;36897,68412;37172,26278
Flu;+G+I+F;80;-18432,02221;37024,04442;37384,14759
MtZoa;+G+I+F;80;-18455,38093;37070,76186;37430,86503
MtREV;+G+I+F;80;-18487,20025;37134,40050;37494,50367
HIVb;+G+I+F;80;-18492,05926;37144,11852;37504,22169
AB;+G+I+F;80;-18561,61170;37283,22340;37643,32657
MtArt;+G+I+F;80;-18664,90286;37489,80572;37849,90889
MtMam;+G+I+F;80;-18772,58330;37705,16660;38065,26977
HIVw;+G+I+F;80;-18798,99204;37757,98408;38118,08725
