Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;239;-75640,69110;151759,38220;153059,43687
LG;+G+I+F;240;-75640,58489;151761,16978;153066,66401
WAG;+G+F;239;-75767,31266;152012,62532;153312,67999
LG;+G;220;-75792,51497;152025,02994;153221,73298
LG;+G+I;221;-75791,96562;152025,93124;153228,07384
VT;+G+F;239;-75826,89068;152131,78136;153431,83603
JTT;+G+F;239;-75932,75916;152343,51832;153643,57299
CpREV;+G+F;239;-75940,98615;152359,97230;153660,02697
RtREV;+G+F;239;-76117,35241;152712,70482;154012,75949
CpREV;+G;220;-76235,16470;152910,32940;154107,03244
Blosum62;+G+F;239;-76250,18001;152978,36002;154278,41469
Blosum62;+G;220;-76398,27929;153236,55858;154433,26162
Dayhoff;+G+F;239;-76421,11611;153320,23222;154620,28689
DCMut;+G+F;239;-76424,50985;153327,01970;154627,07437
MtZoa;+G+F;239;-76510,21966;153498,43932;154798,49399
MtREV;+G+F;239;-76713,66994;153905,33988;155205,39455
Flu;+G+F;239;-77066,75185;154611,50370;155911,55837
HIVb;+G+F;239;-77199,89476;154877,78952;156177,84419
MtZoa;+G;220;-77324,48981;155088,97962;156285,68266
MtArt;+G+F;239;-77571,40864;155620,81728;156920,87195
AB;+G+F;239;-77808,32126;156094,64252;157394,69719
MtMam;+G+F;239;-78292,39868;157062,79736;158362,85203
HIVw;+G+F;239;-79037,79432;158553,58864;159853,64331
