Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;50;-2159,28123;4418,56246;4587,09436
LG;+G+F;49;-2163,66968;4425,33936;4590,50062
MtZoa;+G+I+F;50;-2169,98512;4439,97024;4608,50214
MtZoa;+G+I;31;-2191,15355;4444,30710;4548,79687
LG;+G+I;31;-2191,88626;4445,77252;4550,26229
JTT;+G+I+F;50;-2174,80292;4449,60584;4618,13774
RtREV;+G+I+F;50;-2176,20906;4452,41812;4620,95002
WAG;+G+I+F;50;-2176,66788;4453,33576;4621,86766
LG;+G;30;-2197,44362;4454,88724;4556,00638
VT;+G+I+F;50;-2181,55732;4463,11464;4631,64654
CpREV;+G+I+F;50;-2187,29993;4474,59986;4643,13176
Blosum62;+G+I+F;50;-2191,16076;4482,32152;4650,85342
Dayhoff;+G+I+F;50;-2191,83229;4483,66458;4652,19648
DCMut;+G+I+F;50;-2191,94322;4483,88644;4652,41834
CpREV;+G+I;31;-2217,89681;4497,79362;4602,28339
MtArt;+G+I+F;50;-2203,13101;4506,26202;4674,79392
WAG;+G+I;31;-2222,20641;4506,41282;4610,90259
Blosum62;+G+I;31;-2222,59675;4507,19350;4611,68327
JTT;+G+I;31;-2223,07528;4508,15056;4612,64033
VT;+G+I;31;-2224,64611;4511,29222;4615,78199
Flu;+G+I+F;50;-2213,57436;4527,14872;4695,68062
MtREV;+G+I+F;50;-2213,82253;4527,64506;4696,17696
MtArt;+G+I;31;-2235,74244;4533,48488;4637,97465
RtREV;+G+I;31;-2236,74412;4535,48824;4639,97801
HIVb;+G+I+F;50;-2228,50746;4557,01492;4725,54682
Dayhoff;+G+I;31;-2258,42955;4578,85910;4683,34887
DCMut;+G+I;31;-2258,51511;4579,03022;4683,51999
AB;+G+I+F;50;-2244,58993;4589,17986;4757,71176
MtMam;+G+I+F;50;-2248,18085;4596,36170;4764,89360
MtREV;+G+I;31;-2270,95656;4603,91312;4708,40289
Flu;+G+I;31;-2271,55376;4605,10752;4709,59729
HIVb;+G+I;31;-2284,33101;4630,66202;4735,15179
HIVw;+G+I+F;50;-2269,09643;4638,19286;4806,72476
AB;+G+I;31;-2296,91797;4655,83594;4760,32571
MtMam;+G+I;31;-2300,86032;4663,72064;4768,21041
HIVw;+G+I;31;-2379,10646;4820,21292;4924,70269
