Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;48;-13041,60977;26179,21954;26395,99680
LG;+G+F;47;-13043,75834;26181,51668;26393,77775
WAG;+G+I+F;48;-13055,43763;26206,87526;26423,65252
VT;+G+I+F;48;-13074,08482;26244,16964;26460,94690
RtREV;+G+I+F;48;-13102,37796;26300,75592;26517,53318
Blosum62;+G+I+F;48;-13104,12952;26304,25904;26521,03630
JTT;+G+I+F;48;-13108,08122;26312,16244;26528,93970
CpREV;+G+I+F;48;-13109,67900;26315,35800;26532,13526
LG;+G+I;29;-13131,20820;26320,41640;26451,38599
LG;+G;28;-13132,92269;26321,84538;26448,29878
Dayhoff;+G+I+F;48;-13122,19191;26340,38382;26557,16108
DCMut;+G+I+F;48;-13122,36222;26340,72444;26557,50170
MtZoa;+G+I+F;48;-13151,45203;26398,90406;26615,68132
Blosum62;+G+I;29;-13174,57778;26407,15556;26538,12515
CpREV;+G+I;29;-13194,72959;26447,45918;26578,42877
JTT;+G+I;29;-13198,63318;26455,26636;26586,23595
MtREV;+G+I+F;48;-13197,50241;26491,00482;26707,78208
Flu;+G+I+F;48;-13208,37616;26512,75232;26729,52958
MtArt;+G+I+F;48;-13248,19411;26592,38822;26809,16548
HIVb;+G+I+F;48;-13266,99910;26629,99820;26846,77546
AB;+G+I+F;48;-13336,01418;26768,02836;26984,80562
MtMam;+G+I+F;48;-13362,85321;26821,70642;27038,48368
HIVw;+G+I+F;48;-13524,64446;27145,28892;27362,06618
