Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;33;-5205,35368;10476,70736;10618,14529
LG;+G+I+F;34;-5205,36009;10478,72018;10624,44411
WAG;+G+F;33;-5207,04426;10480,08852;10621,52645
CpREV;+G+F;33;-5212,03491;10490,06982;10631,50775
JTT;+G+F;33;-5212,04346;10490,08692;10631,52485
VT;+G+F;33;-5212,00044;10490,00088;10631,43881
RtREV;+G+F;33;-5226,69541;10519,39082;10660,82875
LG;+G;14;-5247,86488;10523,72976;10583,73373
LG;+G+I;15;-5247,87004;10525,74008;10590,03005
Blosum62;+G+F;33;-5235,59230;10537,18460;10678,62253
CpREV;+G;14;-5260,47043;10548,94086;10608,94483
Dayhoff;+G+F;33;-5244,30146;10554,60292;10696,04085
DCMut;+G+F;33;-5244,54521;10555,09042;10696,52835
VT;+G;14;-5264,26600;10556,53200;10616,53597
JTT;+G;14;-5264,76809;10557,53618;10617,54015
WAG;+G;14;-5265,97331;10559,94662;10619,95059
Blosum62;+G;14;-5267,86944;10563,73888;10623,74285
MtREV;+G+F;33;-5261,77432;10589,54864;10730,98657
Flu;+G+F;33;-5263,55331;10593,10662;10734,54455
MtZoa;+G+F;33;-5271,90332;10609,80664;10751,24457
HIVb;+G+F;33;-5280,76715;10627,53430;10768,97223
AB;+G+F;33;-5301,79988;10669,59976;10811,03769
RtREV;+G;14;-5322,08173;10672,16346;10732,16743
MtZoa;+G;14;-5337,24284;10702,48568;10762,48965
Dayhoff;+G;14;-5339,32747;10706,65494;10766,65891
DCMut;+G;14;-5339,53938;10707,07876;10767,08273
MtMam;+G+F;33;-5325,12423;10716,24846;10857,68639
MtArt;+G+F;33;-5331,72179;10729,44358;10870,88151
HIVb;+G;14;-5362,76841;10753,53682;10813,54079
Flu;+G;14;-5367,51685;10763,03370;10823,03767
HIVw;+G+F;33;-5352,75531;10771,51062;10912,94855
MtREV;+G;14;-5413,84577;10855,69154;10915,69551
AB;+G;14;-5433,24330;10894,48660;10954,49057
MtArt;+G;14;-5437,80810;10903,61620;10963,62017
MtMam;+G;14;-5475,07266;10978,14532;11038,14929
HIVw;+G;14;-5549,07825;11126,15650;11186,16047
