Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;31;-6412,62788;12887,25576;13029,68257
LG;+G+F;31;-6413,19392;12888,38784;13030,81465
JTT;+G+I+F;32;-6412,63079;12889,26158;13036,28281
VT;+G+F;31;-6423,96905;12909,93810;13052,36491
WAG;+G+F;31;-6433,20567;12928,41134;13070,83815
CpREV;+G+F;31;-6438,32150;12938,64300;13081,06981
RtREV;+G+F;31;-6446,65947;12955,31894;13097,74575
MtZoa;+G+F;31;-6447,95319;12957,90638;13100,33319
JTT;+G;12;-6476,32550;12976,65100;13031,78396
JTT;+G+I;13;-6476,32742;12978,65484;13038,38221
LG;+G;12;-6479,07533;12982,15066;13037,28362
LG;+G+I;13;-6479,07816;12984,15632;13043,88369
MtREV;+G+F;31;-6461,64595;12985,29190;13127,71871
HIVb;+G+F;31;-6462,93156;12987,86312;13130,28993
Blosum62;+G+F;31;-6466,22334;12994,44668;13136,87349
Dayhoff;+G+F;31;-6469,27621;13000,55242;13142,97923
VT;+G;12;-6488,23781;13000,47562;13055,60858
DCMut;+G+F;31;-6469,72672;13001,45344;13143,88025
CpREV;+G;12;-6494,16911;13012,33822;13067,47118
WAG;+G;12;-6499,93542;13023,87084;13079,00380
Flu;+G+F;31;-6483,86109;13029,72218;13172,14899
Blosum62;+G;12;-6514,58633;13053,17266;13108,30562
MtMam;+G+F;31;-6508,11409;13078,22818;13220,65499
MtArt;+G+F;31;-6511,01275;13084,02550;13226,45231
AB;+G+F;31;-6531,88963;13125,77926;13268,20607
HIVb;+G;12;-6563,61370;13151,22740;13206,36036
Dayhoff;+G;12;-6573,99725;13171,99450;13227,12746
RtREV;+G;12;-6573,72700;13171,45400;13226,58696
DCMut;+G;12;-6574,28940;13172,57880;13227,71176
HIVw;+G+F;31;-6555,66622;13173,33244;13315,75925
MtZoa;+G;12;-6584,38433;13192,76866;13247,90162
Flu;+G;12;-6624,89494;13273,78988;13328,92284
AB;+G;12;-6685,65528;13395,31056;13450,44352
MtREV;+G;12;-6691,09821;13406,19642;13461,32938
MtArt;+G;12;-6717,79826;13459,59652;13514,72948
MtMam;+G;12;-6745,71581;13515,43162;13570,56458
HIVw;+G;12;-6821,64051;13667,28102;13722,41398
