Model;Decoration;K;Llk;AIC;BIC
VT;+G+I+F;62;-7410,51456;14945,02912;15179,43521
VT;+G+F;61;-7419,67712;14961,35424;15191,97959
WAG;+G+I+F;62;-7423,20250;14970,40500;15204,81109
LG;+G+I+F;62;-7423,55143;14971,10286;15205,50895
VT;+G+I;43;-7445,97185;14977,94370;15140,51567
WAG;+G+I;43;-7449,09410;14984,18820;15146,76017
CpREV;+G+I+F;62;-7431,24293;14986,48586;15220,89195
VT;+G;42;-7456,54583;14997,09166;15155,88288
Blosum62;+G+I+F;62;-7437,23734;14998,47468;15232,88077
Dayhoff;+G+I+F;62;-7441,22551;15006,45102;15240,85711
DCMut;+G+I+F;62;-7441,00527;15006,01054;15240,41663
JTT;+G+I+F;62;-7442,14370;15008,28740;15242,69349
JTT;+G+I;43;-7465,01788;15016,03576;15178,60773
Blosum62;+G+I;43;-7466,32010;15018,64020;15181,21217
RtREV;+G+I+F;62;-7448,77021;15021,54042;15255,94651
LG;+G+I;43;-7472,39652;15030,79304;15193,36501
LG;+G;42;-7483,42150;15050,84300;15209,63422
Dayhoff;+G+I;43;-7489,35508;15064,71016;15227,28213
DCMut;+G+I;43;-7489,03220;15064,06440;15226,63637
CpREV;+G+I;43;-7516,79134;15119,58268;15282,15465
RtREV;+G+I;43;-7531,91945;15149,83890;15312,41087
MtZoa;+G+I+F;62;-7519,51828;15163,03656;15397,44265
MtREV;+G+I+F;62;-7555,31302;15234,62604;15469,03213
HIVb;+G+I+F;62;-7558,73845;15241,47690;15475,88299
Flu;+G+I+F;62;-7560,25865;15244,51730;15478,92339
AB;+G+I+F;62;-7600,04544;15324,09088;15558,49697
MtArt;+G+I+F;62;-7616,61458;15357,22916;15591,63525
Flu;+G+I;43;-7640,88651;15367,77302;15530,34499
HIVb;+G+I;43;-7652,06353;15390,12706;15552,69903
MtZoa;+G+I;43;-7654,52068;15395,04136;15557,61333
MtMam;+G+I+F;62;-7691,79583;15507,59166;15741,99775
HIVw;+G+I+F;62;-7694,23940;15512,47880;15746,88489
AB;+G+I;43;-7725,19148;15536,38296;15698,95493
MtREV;+G+I;43;-7737,37828;15560,75656;15723,32853
MtArt;+G+I;43;-7809,97666;15705,95332;15868,52529
MtMam;+G+I;43;-7874,86060;15835,72120;15998,29317
HIVw;+G+I;43;-7908,34778;15902,69556;16065,26753
