Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I;29;-9870,54221;19799,08442;19926,00950
JTT;+G;28;-9873,49735;19802,99470;19925,54305
JTT;+G+I+F;48;-9869,46064;19834,92128;20045,00417
JTT;+G+F;47;-9871,62424;19837,24848;20042,95464
LG;+G+I+F;48;-9877,38825;19850,77650;20060,85939
WAG;+G+I+F;48;-9877,61153;19851,22306;20061,30595
CpREV;+G+I+F;48;-9890,64651;19877,29302;20087,37591
VT;+G+I+F;48;-9892,49287;19880,98574;20091,06863
LG;+G+I;29;-9912,72580;19883,45160;20010,37668
LG;+G;28;-9914,74471;19885,48942;20008,03777
Dayhoff;+G+I+F;48;-9921,59604;19939,19208;20149,27497
DCMut;+G+I+F;48;-9922,36511;19940,73022;20150,81311
Flu;+G+I+F;48;-9924,93257;19945,86514;20155,94803
MtREV;+G+I+F;48;-9925,54371;19947,08742;20157,17031
HIVb;+G+I+F;48;-9931,49614;19958,99228;20169,07517
Blosum62;+G+I+F;48;-9956,04860;20008,09720;20218,18009
MtZoa;+G+I+F;48;-9959,76889;20015,53778;20225,62067
RtREV;+G+I+F;48;-9962,86611;20021,73222;20231,81511
MtMam;+G+I+F;48;-10030,93523;20157,87046;20367,95335
MtZoa;+G+I;29;-10074,11108;20206,22216;20333,14724
AB;+G+I+F;48;-10060,04839;20216,09678;20426,17967
MtArt;+G+I+F;48;-10079,57448;20255,14896;20465,23185
MtREV;+G+I;29;-10157,88264;20373,76528;20500,69036
HIVw;+G+I+F;48;-10150,28973;20396,57946;20606,66235
MtArt;+G+I;29;-10300,42974;20658,85948;20785,78456
