Model;Decoration;K;Llk;AIC;BIC
LG;+G+I;99;-28076,21552;56350,43104;56821,94126
LG;+G;98;-28079,69085;56355,38170;56822,12919
LG;+G+I+F;118;-28084,26952;56404,53904;56966,54112
LG;+G+F;117;-28087,16056;56408,32112;56965,56047
JTT;+G+I;99;-28139,77098;56477,54196;56949,05218
WAG;+G+I+F;118;-28167,93745;56571,87490;57133,87698
VT;+G+I;99;-28199,56896;56597,13792;57068,64814
JTT;+G+I+F;118;-28181,54212;56599,08424;57161,08632
RtREV;+G+I+F;118;-28189,44369;56614,88738;57176,88946
VT;+G+I+F;118;-28192,14105;56620,28210;57182,28418
WAG;+G+I;99;-28235,38677;56668,77354;57140,28376
CpREV;+G+I+F;118;-28256,68122;56749,36244;57311,36452
CpREV;+G+I;99;-28341,67746;56881,35492;57352,86514
Blosum62;+G+I;99;-28387,12820;56972,25640;57443,76662
Dayhoff;+G+I+F;118;-28372,14114;56980,28228;57542,28436
DCMut;+G+I+F;118;-28372,69608;56981,39216;57543,39424
Blosum62;+G+I+F;118;-28377,97913;56991,95826;57553,96034
MtZoa;+G+I+F;118;-28469,81329;57175,62658;57737,62866
MtREV;+G+I+F;118;-28528,33712;57292,67424;57854,67632
Flu;+G+I+F;118;-28601,94115;57439,88230;58001,88438
Flu;+G+I;99;-28624,91816;57447,83632;57919,34654
HIVb;+G+I+F;118;-28658,12389;57552,24778;58114,24986
HIVb;+G+I;99;-28716,09433;57630,18866;58101,69888
MtArt;+G+I+F;118;-28857,35223;57950,70446;58512,70654
AB;+G+I+F;118;-28893,76869;58023,53738;58585,53946
MtMam;+G+I+F;118;-29069,10334;58374,20668;58936,20876
HIVw;+G+I+F;118;-29309,15807;58854,31614;59416,31822
