Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;35;-6514,93684;13099,87368;13251,90949
JTT;+G+I+F;36;-6514,94011;13101,88022;13258,25991
JTT;+G;16;-6542,33796;13116,67592;13186,17800
JTT;+G+I;17;-6542,33891;13118,67782;13192,52378
VT;+G+F;35;-6526,14096;13122,28192;13274,31773
WAG;+G+F;35;-6530,91823;13131,83646;13283,87227
VT;+G;16;-6554,57941;13141,15882;13210,66090
LG;+G+F;35;-6540,28088;13150,56176;13302,59757
Dayhoff;+G+F;35;-6554,09523;13178,19046;13330,22627
DCMut;+G+F;35;-6554,06049;13178,12098;13330,15679
LG;+G;16;-6574,36699;13180,73398;13250,23606
LG;+G+I;17;-6574,25258;13182,50516;13256,35112
WAG;+G;16;-6578,04530;13188,09060;13257,59268
Blosum62;+G+F;35;-6571,02496;13212,04992;13364,08573
RtREV;+G+F;35;-6571,76921;13213,53842;13365,57423
CpREV;+G+F;35;-6578,02199;13226,04398;13378,07979
Blosum62;+G;16;-6600,95254;13233,90508;13303,40716
HIVb;+G+F;35;-6582,52854;13235,05708;13387,09289
Flu;+G+F;35;-6586,60491;13243,20982;13395,24563
CpREV;+G;16;-6616,44368;13264,88736;13334,38944
AB;+G+F;35;-6605,68087;13281,36174;13433,39755
MtREV;+G+F;35;-6605,67842;13281,35684;13433,39265
RtREV;+G;16;-6627,54147;13287,08294;13356,58502
MtZoa;+G+F;35;-6618,52791;13307,05582;13459,09163
HIVb;+G;16;-6642,27914;13316,55828;13386,06036
Dayhoff;+G;16;-6648,41605;13328,83210;13398,33418
DCMut;+G;16;-6648,27458;13328,54916;13398,05124
Flu;+G;16;-6663,27651;13358,55302;13428,05510
HIVw;+G+F;35;-6659,94332;13389,88664;13541,92245
MtMam;+G+F;35;-6678,02659;13426,05318;13578,08899
MtArt;+G+F;35;-6683,66063;13437,32126;13589,35707
MtZoa;+G;16;-6747,75414;13527,50828;13597,01036
AB;+G;16;-6754,62435;13541,24870;13610,75078
MtREV;+G;16;-6763,99853;13559,99706;13629,49914
HIVw;+G;16;-6840,58378;13713,16756;13782,66964
MtMam;+G;16;-6842,87791;13717,75582;13787,25790
MtArt;+G;16;-6858,59636;13749,19272;13818,69480
