Model;Decoration;K;Llk;AIC;BIC
HIVb;+G+F;27;-3521,42993;7096,85986;7219,35053
HIVb;+G+I+F;28;-3520,64925;7097,29850;7224,32586
JTT;+G+F;27;-3521,78968;7097,57936;7220,07003
Flu;+G+F;27;-3524,81106;7103,62212;7226,11279
LG;+G+F;27;-3536,76261;7127,52522;7250,01589
JTT;+G;8;-3563,71363;7143,42726;7179,72079
HIVw;+G+F;27;-3545,46855;7144,93710;7267,42777
LG;+G;8;-3568,66187;7153,32374;7189,61727
LG;+G+I;9;-3568,44729;7154,89458;7195,72480
VT;+G+F;27;-3551,27007;7156,54014;7279,03081
WAG;+G+F;27;-3552,05953;7158,11906;7280,60973
RtREV;+G+F;27;-3555,73251;7165,46502;7287,95569
MtZoa;+G+F;27;-3558,40341;7170,80682;7293,29749
HIVb;+G;8;-3577,72165;7171,44330;7207,73683
HIVb;+G+I;9;-3576,76981;7171,53962;7212,36984
AB;+G+F;27;-3559,98984;7173,97968;7296,47035
Dayhoff;+G+F;27;-3561,33539;7176,67078;7299,16145
DCMut;+G+F;27;-3561,52456;7177,04912;7299,53979
MtREV;+G+F;27;-3562,46690;7178,93380;7301,42447
CpREV;+G+F;27;-3565,14395;7184,28790;7306,77857
MtMam;+G+F;27;-3569,16467;7192,32934;7314,82001
VT;+G;8;-3589,42233;7194,84466;7231,13819
Blosum62;+G+F;27;-3578,39116;7210,78232;7333,27299
CpREV;+G;8;-3598,77327;7213,54654;7249,84007
WAG;+G;8;-3601,03087;7218,06174;7254,35527
MtArt;+G+F;27;-3590,24765;7234,49530;7356,98597
Blosum62;+G;8;-3609,72562;7235,45124;7271,74477
Flu;+G;8;-3618,54322;7253,08644;7289,37997
RtREV;+G;8;-3623,55572;7263,11144;7299,40497
Dayhoff;+G;8;-3636,59709;7289,19418;7325,48771
DCMut;+G;8;-3636,78598;7289,57196;7325,86549
MtZoa;+G;8;-3681,65481;7379,30962;7415,60315
HIVw;+G;8;-3694,33474;7404,66948;7440,96301
AB;+G;8;-3713,00777;7442,01554;7478,30907
MtREV;+G;8;-3728,04573;7472,09146;7508,38499
MtMam;+G;8;-3741,27810;7498,55620;7534,84973
MtArt;+G;8;-3754,95665;7525,91330;7562,20683
