Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;57;-14360,24753;28834,49506;29112,08810
JTT;+G+I+F;58;-14360,25492;28836,50984;29118,97293
JTT;+G;38;-14386,14709;28848,29418;29033,35620
JTT;+G+I;39;-14386,15934;28850,31868;29040,25076
LG;+G;38;-14396,09588;28868,19176;29053,25378
LG;+G+I;39;-14396,11480;28870,22960;29060,16168
LG;+G+F;57;-14388,58315;28891,16630;29168,75934
VT;+G;38;-14418,86063;28913,72126;29098,78328
WAG;+G+F;57;-14407,35654;28928,71308;29206,30612
VT;+G+F;57;-14410,55955;28935,11910;29212,71214
CpREV;+G+F;57;-14424,28710;28962,57420;29240,16724
CpREV;+G;38;-14443,53109;28963,06218;29148,12420
WAG;+G;38;-14453,39572;28982,79144;29167,85346
Dayhoff;+G+F;57;-14475,57381;29065,14762;29342,74066
DCMut;+G+F;57;-14476,00965;29066,01930;29343,61234
RtREV;+G+F;57;-14483,64875;29081,29750;29358,89054
HIVb;+G+F;57;-14510,23458;29134,46916;29412,06220
Blosum62;+G;38;-14532,79254;29141,58508;29326,64710
Blosum62;+G+F;57;-14519,93465;29153,86930;29431,46234
Flu;+G+F;57;-14534,03379;29182,06758;29459,66062
MtZoa;+G+F;57;-14540,77425;29195,54850;29473,14154
HIVb;+G;38;-14571,18973;29218,37946;29403,44148
MtREV;+G+F;57;-14571,45805;29256,91610;29534,50914
AB;+G+F;57;-14626,82041;29367,64082;29645,23386
MtArt;+G+F;57;-14732,27195;29578,54390;29856,13694
HIVw;+G+F;57;-14745,28555;29604,57110;29882,16414
MtMam;+G+F;57;-14806,33255;29726,66510;30004,25814
