Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;51;-14293,46228;28688,92456;28928,09412
JTT;+G+I+F;52;-14292,06402;28688,12804;28931,98720
LG;+G;32;-14314,94803;28693,89606;28843,96323
LG;+G+I;33;-14313,52034;28693,04068;28847,79745
WAG;+G+I+F;52;-14295,93535;28695,87070;28939,72986
JTT;+G+I;33;-14323,01297;28712,02594;28866,78271
JTT;+G;32;-14325,55585;28715,11170;28865,17887
CpREV;+G+I+F;52;-14320,53064;28745,06128;28988,92044
CpREV;+G+I;33;-14340,97141;28747,94282;28902,69959
LG;+G+I+F;52;-14323,10232;28750,20464;28994,06380
WAG;+G+I;33;-14353,38740;28772,77480;28927,53157
VT;+G+I;33;-14355,69718;28777,39436;28932,15113
VT;+G+I+F;52;-14339,99550;28783,99100;29027,85016
Dayhoff;+G+I+F;52;-14405,44992;28914,89984;29158,75900
DCMut;+G+I+F;52;-14406,32028;28916,64056;29160,49972
Blosum62;+G+I;33;-14432,22192;28930,44384;29085,20061
Flu;+G+I+F;52;-14421,37532;28946,75064;29190,60980
RtREV;+G+I+F;52;-14427,42811;28958,85622;29202,71538
Blosum62;+G+I+F;52;-14439,58927;28983,17854;29227,03770
HIVb;+G+I+F;52;-14442,03358;28988,06716;29231,92632
MtREV;+G+I+F;52;-14488,35006;29080,70012;29324,55928
MtZoa;+G+I+F;52;-14511,10601;29126,21202;29370,07118
Dayhoff;+G+I;33;-14534,94172;29135,88344;29290,64021
DCMut;+G+I;33;-14535,61561;29137,23122;29291,98799
AB;+G+I+F;52;-14543,84022;29191,68044;29435,53960
HIVw;+G+I+F;52;-14682,02639;29468,05278;29711,91194
MtMam;+G+I+F;52;-14701,01939;29506,03878;29749,89794
MtArt;+G+I+F;52;-14706,40768;29516,81536;29760,67452
MtZoa;+G+I;33;-14747,33321;29560,66642;29715,42319
