Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;227;-86033,45713;172520,91426;173752,87597
LG;+G+I+F;228;-86033,54061;172523,08122;173760,47008
LG;+G;208;-86071,64133;172559,28266;173688,12863
LG;+G+I;209;-86071,71313;172561,42626;173695,69938
WAG;+G+F;227;-86131,87541;172717,75082;173949,71253
VT;+G+F;227;-86189,64179;172833,28358;174065,24529
VT;+G;208;-86215,16348;172846,32696;173975,17293
JTT;+G;208;-86228,96091;172873,92182;174002,76779
WAG;+G;208;-86320,72323;173057,44646;174186,29243
JTT;+G+F;227;-86351,43967;173156,87934;174388,84105
CpREV;+G+F;227;-86389,37524;173232,75048;174464,71219
RtREV;+G+F;227;-86498,51725;173451,03450;174682,99621
Blosum62;+G+F;227;-86645,99893;173745,99786;174977,95957
Blosum62;+G;208;-86736,20063;173888,40126;175017,24723
CpREV;+G;208;-86757,30764;173930,61528;175059,46125
Dayhoff;+G+F;227;-86814,37864;174082,75728;175314,71899
DCMut;+G+F;227;-86814,89175;174083,78350;175315,74521
MtZoa;+G+F;227;-86869,72687;174193,45374;175425,41545
MtREV;+G+F;227;-86921,31162;174296,62324;175528,58495
Flu;+G+F;227;-87544,91143;175543,82286;176775,78457
HIVb;+G+F;227;-87564,39763;175582,79526;176814,75697
MtArt;+G+F;227;-87856,01373;176166,02746;177397,98917
AB;+G+F;227;-88232,74694;176919,49388;178151,45559
MtMam;+G+F;227;-88397,53738;177249,07476;178481,03647
HIVw;+G+F;227;-89608,34736;179670,69472;180902,65643
