Model;Decoration;K;Llk;AIC;BIC
VT;+G+F;31;-3860,31530;7782,63060;7901,95966
VT;+G+I+F;32;-3860,32226;7784,64452;7907,82291
Blosum62;+G;12;-3881,25514;7786,51028;7832,70217
VT;+G;12;-3882,21346;7788,42692;7834,61881
WAG;+G+F;31;-3863,22272;7788,44544;7907,77450
LG;+G;12;-3882,94300;7789,88600;7836,07789
LG;+G+F;31;-3863,85361;7789,70722;7909,03628
JTT;+G+F;31;-3864,05527;7790,11054;7909,43960
VT;+G+I;13;-3882,21970;7790,43940;7840,48062
LG;+G+I;13;-3882,95072;7791,90144;7841,94266
Blosum62;+G+F;31;-3866,01493;7794,02986;7913,35892
RtREV;+G+F;31;-3867,59778;7797,19556;7916,52462
CpREV;+G;12;-3888,15400;7800,30800;7846,49989
CpREV;+G+F;31;-3870,59927;7803,19854;7922,52760
HIVb;+G+F;31;-3870,92939;7803,85878;7923,18784
Dayhoff;+G+F;31;-3874,30094;7810,60188;7929,93094
DCMut;+G+F;31;-3874,32707;7810,65414;7929,98320
MtZoa;+G+F;31;-3878,24198;7818,48396;7937,81302
JTT;+G;12;-3897,80082;7819,60164;7865,79353
Flu;+G+F;31;-3880,12591;7822,25182;7941,58088
WAG;+G;12;-3901,57018;7827,14036;7873,33225
MtREV;+G+F;31;-3886,00362;7834,00724;7953,33630
AB;+G+F;31;-3888,76314;7839,52628;7958,85534
RtREV;+G;12;-3908,19725;7840,39450;7886,58639
MtArt;+G+F;31;-3891,06857;7844,13714;7963,46620
HIVb;+G;12;-3913,52727;7851,05454;7897,24643
MtMam;+G+F;31;-3902,52508;7867,05016;7986,37922
HIVw;+G+F;31;-3910,15760;7882,31520;8001,64426
Flu;+G;12;-3934,67452;7893,34904;7939,54093
Dayhoff;+G;12;-3948,76997;7921,53994;7967,73183
DCMut;+G;12;-3948,70897;7921,41794;7967,60983
MtZoa;+G;12;-3962,15673;7948,31346;7994,50535
MtArt;+G;12;-3990,96005;8005,92010;8052,11199
MtREV;+G;12;-3994,66118;8013,32236;8059,51425
AB;+G;12;-4010,66002;8045,32004;8091,51193
MtMam;+G;12;-4016,03100;8056,06200;8102,25389
HIVw;+G;12;-4024,58531;8073,17062;8119,36251
