Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;64;-19111,55276;38351,10552;38670,24577
JTT;+G+I;45;-19134,74990;38359,49980;38583,89529
JTT;+G+F;63;-19117,16194;38360,32388;38674,47756
LG;+G+I+F;64;-19120,96988;38369,93976;38689,08001
JTT;+G;44;-19141,27639;38370,55278;38589,96170
WAG;+G+I+F;64;-19148,52894;38425,05788;38744,19813
VT;+G+I+F;64;-19177,44715;38482,89430;38802,03455
LG;+G+I;45;-19219,06935;38528,13870;38752,53419
LG;+G;44;-19222,94597;38533,89194;38753,30086
CpREV;+G+I+F;64;-19203,74481;38535,48962;38854,62987
WAG;+G+I;45;-19241,45261;38572,90522;38797,30071
Dayhoff;+G+I+F;64;-19226,65455;38581,30910;38900,44935
DCMut;+G+I+F;64;-19227,76469;38583,52938;38902,66963
RtREV;+G+I+F;64;-19244,79266;38617,58532;38936,72557
MtREV;+G+I+F;64;-19252,64926;38633,29852;38952,43877
MtZoa;+G+I+F;64;-19286,73552;38701,47104;39020,61129
HIVb;+G+I+F;64;-19300,76512;38729,53024;39048,67049
Flu;+G+I+F;64;-19307,82056;38743,64112;39062,78137
Blosum62;+G+I+F;64;-19331,74458;38791,48916;39110,62941
Blosum62;+G+I;45;-19428,72907;38947,45814;39171,85363
MtMam;+G+I+F;64;-19482,56193;39093,12386;39412,26411
MtArt;+G+I+F;64;-19486,83426;39101,66852;39420,80877
AB;+G+I+F;64;-19560,83227;39249,66454;39568,80479
HIVw;+G+I+F;64;-19706,61789;39541,23578;39860,37603
