Model;Decoration;K;Llk;AIC;BIC
VT;+G+F;49;-14744,30460;29586,60920;29826,19917
VT;+G+I+F;50;-14744,18653;29588,37306;29832,85262
WAG;+G+F;49;-14754,56687;29607,13374;29846,72371
JTT;+G+F;49;-14770,60046;29639,20092;29878,79089
VT;+G;30;-14800,38531;29660,77062;29807,45835
VT;+G+I;31;-14800,17420;29662,34840;29813,92573
LG;+G+F;49;-14794,04376;29686,08752;29925,67749
Blosum62;+G+F;49;-14809,87343;29717,74686;29957,33683
JTT;+G;30;-14837,19266;29734,38532;29881,07305
LG;+G;30;-14847,67803;29755,35606;29902,04379
LG;+G+I;31;-14847,20745;29756,41490;29907,99223
DCMut;+G+F;49;-14830,97538;29759,95076;29999,54073
Dayhoff;+G+F;49;-14831,39357;29760,78714;30000,37711
CpREV;+G+F;49;-14832,57873;29763,15746;30002,74743
Blosum62;+G;30;-14855,84958;29771,69916;29918,38689
RtREV;+G+F;49;-14852,02810;29802,05620;30041,64617
Flu;+G+F;49;-14939,86479;29977,72958;30217,31955
MtREV;+G+F;49;-14965,08794;30028,17588;30267,76585
MtZoa;+G+F;49;-14988,39278;30074,78556;30314,37553
HIVb;+G+F;49;-14989,41242;30076,82484;30316,41481
AB;+G+F;49;-15041,22335;30180,44670;30420,03667
HIVw;+G+F;49;-15134,28125;30366,56250;30606,15247
MtArt;+G+F;49;-15143,46018;30384,92036;30624,51033
MtMam;+G+F;49;-15151,46628;30400,93256;30640,52253
