Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;31;-9551,39240;19164,78480;19324,57787
LG;+G+I+F;32;-9551,33773;19166,67546;19331,62315
VT;+G+F;31;-9554,71213;19171,42426;19331,21733
VT;+G;12;-9581,49032;19186,98064;19248,83602
LG;+G;12;-9583,36742;19190,73484;19252,59022
LG;+G+I;13;-9583,08187;19192,16374;19259,17373
WAG;+G+F;31;-9566,29365;19194,58730;19354,38037
Blosum62;+G+F;31;-9578,39497;19218,78994;19378,58301
JTT;+G;12;-9597,74197;19219,48394;19281,33932
RtREV;+G+F;31;-9578,51450;19219,02900;19378,82207
CpREV;+G+F;31;-9579,35058;19220,70116;19380,49423
WAG;+G;12;-9601,37564;19226,75128;19288,60666
JTT;+G+F;31;-9584,08682;19230,17364;19389,96671
MtZoa;+G+F;31;-9590,59219;19243,18438;19402,97745
Blosum62;+G;12;-9620,98248;19265,96496;19327,82034
CpREV;+G;12;-9632,56669;19289,13338;19350,98876
Dayhoff;+G+F;31;-9615,24378;19292,48756;19452,28063
DCMut;+G+F;31;-9615,31213;19292,62426;19452,41733
MtREV;+G+F;31;-9619,39386;19300,78772;19460,58079
MtArt;+G+F;31;-9643,93610;19349,87220;19509,66527
HIVb;+G+F;31;-9656,25143;19374,50286;19534,29593
RtREV;+G;12;-9677,40598;19378,81196;19440,66734
Dayhoff;+G;12;-9692,32225;19408,64450;19470,49988
DCMut;+G;12;-9692,29246;19408,58492;19470,44030
Flu;+G+F;31;-9677,90429;19417,80858;19577,60165
MtMam;+G+F;31;-9698,04614;19458,09228;19617,88535
AB;+G+F;31;-9710,06150;19482,12300;19641,91607
HIVb;+G;12;-9739,79881;19503,59762;19565,45300
Flu;+G;12;-9812,42343;19648,84686;19710,70224
HIVw;+G+F;31;-9796,82581;19655,65162;19815,44469
MtZoa;+G;12;-9913,18670;19850,37340;19912,22878
AB;+G;12;-9990,44220;20004,88440;20066,73978
MtREV;+G;12;-10047,89378;20119,78756;20181,64294
MtArt;+G;12;-10059,28621;20142,57242;20204,42780
HIVw;+G;12;-10079,77448;20183,54896;20245,40434
MtMam;+G;12;-10140,05785;20304,11570;20365,97108
