Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;72;-19599,85387;39343,70774;39673,71320
LG;+G+F;71;-19601,72983;39345,45966;39670,88171
LG;+G+I;53;-19657,85888;39421,71776;39664,63844
LG;+G;52;-19661,17761;39426,35522;39664,69249
WAG;+G+I+F;72;-19643,56355;39431,12710;39761,13256
JTT;+G+I;53;-19711,13519;39528,27038;39771,19106
CpREV;+G+I+F;72;-19695,17866;39534,35732;39864,36278
VT;+G+I+F;72;-19696,05118;39536,10236;39866,10782
JTT;+G+I+F;72;-19702,56070;39549,12140;39879,12686
RtREV;+G+I+F;72;-19724,98345;39593,96690;39923,97236
VT;+G+I;53;-19750,88884;39607,77768;39850,69836
CpREV;+G+I;53;-19792,09736;39690,19472;39933,11540
Blosum62;+G+I+F;72;-19808,79614;39761,59228;40091,59774
MtZoa;+G+I+F;72;-19821,71720;39787,43440;40117,43986
Dayhoff;+G+I+F;72;-19839,29920;39822,59840;40152,60386
DCMut;+G+I+F;72;-19840,46513;39824,93026;40154,93572
Blosum62;+G+I;53;-19863,51545;39833,03090;40075,95158
MtREV;+G+I+F;72;-19857,90328;39859,80656;40189,81202
Flu;+G+I+F;72;-19885,27079;39914,54158;40244,54704
HIVb;+G+I+F;72;-19910,81604;39965,63208;40295,63754
MtArt;+G+I+F;72;-20049,72470;40243,44940;40573,45486
MtZoa;+G+I;53;-20071,74501;40249,49002;40492,41070
MtMam;+G+I+F;72;-20121,07079;40386,14158;40716,14704
AB;+G+I+F;72;-20138,27908;40420,55816;40750,56362
HIVw;+G+I+F;72;-20400,73590;40945,47180;41275,47726
