Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;37;-7084,80342;14243,60684;14423,68337
JTT;+G+I+F;38;-7084,70711;14245,41422;14430,35768
JTT;+G;18;-7115,93458;14267,86916;14355,47395
JTT;+G+I;19;-7115,79289;14269,58578;14362,05751
HIVb;+G+F;37;-7103,07996;14280,15992;14460,23645
LG;+G+F;37;-7105,97597;14285,95194;14466,02847
CpREV;+G+F;37;-7108,31423;14290,62846;14470,70499
WAG;+G+F;37;-7119,98577;14313,97154;14494,04807
Flu;+G+F;37;-7125,41062;14324,82124;14504,89777
LG;+G;18;-7154,64261;14345,28522;14432,89001
LG;+G+I;19;-7154,64126;14347,28252;14439,75425
VT;+G+F;37;-7139,28790;14352,57580;14532,65233
Dayhoff;+G+F;37;-7146,32592;14366,65184;14546,72837
DCMut;+G+F;37;-7147,02195;14368,04390;14548,12043
MtZoa;+G+F;37;-7147,07093;14368,14186;14548,21839
MtREV;+G+F;37;-7150,12476;14374,24952;14554,32605
RtREV;+G+F;37;-7156,87867;14387,75734;14567,83387
MtMam;+G+F;37;-7186,55887;14447,11774;14627,19427
Blosum62;+G+F;37;-7195,20056;14464,40112;14644,47765
AB;+G+F;37;-7196,48802;14466,97604;14647,05257
HIVw;+G+F;37;-7212,10267;14498,20534;14678,28187
MtArt;+G+F;37;-7223,55834;14521,11668;14701,19321
MtZoa;+G;18;-7247,43803;14530,87606;14618,48085
MtREV;+G;18;-7289,12806;14614,25612;14701,86091
MtMam;+G;18;-7340,75124;14717,50248;14805,10727
