Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;728;-138176,59037;277809,18074;281625,93762
LG;+G+F;727;-138191,55826;277837,11652;281648,63060
JTT;+G+I+F;728;-138828,41409;279112,82818;282929,58506
LG;+G+I;709;-138880,51949;279179,03898;282896,18270
LG;+G;708;-138896,17220;279208,34440;282920,24532
WAG;+G+I+F;728;-138877,37890;279210,75780;283027,51468
VT;+G+I+F;728;-138895,99388;279247,98776;283064,74464
RtREV;+G+I+F;728;-139047,40176;279550,80352;283367,56040
JTT;+G+I;709;-139264,31096;279946,62192;283663,76564
WAG;+G+I;709;-139546,50623;280511,01246;284228,15618
CpREV;+G+I+F;728;-139590,99800;280637,99600;284454,75288
MtZoa;+G+I+F;728;-139787,37964;281030,75928;284847,51616
Blosum62;+G+I+F;728;-139818,05135;281092,10270;284908,85958
Dayhoff;+G+I+F;728;-140048,78070;281553,56140;285370,31828
DCMut;+G+I+F;728;-140048,54430;281553,08860;285369,84548
CpREV;+G+I;709;-140315,02654;282048,05308;285765,19680
MtREV;+G+I+F;728;-140484,29173;282424,58346;286241,34034
Flu;+G+I+F;728;-141143,15981;283742,31962;287559,07650
HIVb;+G+I+F;728;-141462,22097;284380,44194;288197,19882
MtArt;+G+I+F;728;-141677,96551;284811,93102;288628,68790
AB;+G+I+F;728;-142621,35751;286698,71502;290515,47190
MtMam;+G+I+F;728;-143291,46578;288038,93156;291855,68844
HIVw;+G+I+F;728;-145190,76247;291837,52494;295654,28182
