Model;Decoration;K;Llk;AIC;BIC
WAG;+G+I+F;186;-81530,22028;163432,44056;164420,94738
JTT;+G+I+F;186;-81550,10792;163472,21584;164460,72266
WAG;+G+F;185;-81552,55106;163475,10212;164458,29439
JTT;+G+I;167;-81594,21913;163522,43826;164409,96858
VT;+G+I+F;186;-81711,03943;163794,07886;164782,58568
LG;+G+I+F;186;-81732,54684;163837,09368;164825,60050
LG;+G+I;167;-81767,18177;163868,36354;164755,89386
VT;+G+I;167;-81777,65801;163889,31602;164776,84634
LG;+G;166;-81816,05370;163964,10740;164846,32317
WAG;+G+I;167;-81867,21484;164068,42968;164955,96000
WAG;+G;166;-81886,44355;164104,88710;164987,10287
Flu;+G+I+F;186;-82067,58077;164507,16154;165495,66836
Dayhoff;+G+I+F;186;-82127,06481;164626,12962;165614,63644
DCMut;+G+I+F;186;-82127,68019;164627,36038;165615,86720
CpREV;+G+I+F;186;-82197,02466;164766,04932;165754,55614
RtREV;+G+I+F;186;-82266,69708;164905,39416;165893,90098
Blosum62;+G+I+F;186;-82296,45338;164964,90676;165953,41358
Blosum62;+G+I;167;-82445,56576;165225,13152;166112,66184
HIVb;+G+I+F;186;-82562,80006;165497,60012;166486,10694
MtREV;+G+I+F;186;-82704,55567;165781,11134;166769,61816
AB;+G+I+F;186;-82935,21606;166242,43212;167230,93894
MtZoa;+G+I+F;186;-83007,02374;166386,04748;167374,55430
MtMam;+G+I+F;186;-83970,64346;168313,28692;169301,79374
HIVw;+G+I+F;186;-83972,61289;168317,22578;169305,73260
MtArt;+G+I+F;186;-84071,54601;168515,09202;169503,59884
