Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;43;-6462,47886;13010,95772;13180,83534
LG;+G+I+F;44;-6462,50274;13013,00548;13186,83375
VT;+G+F;43;-6478,59588;13043,19176;13213,06938
WAG;+G+F;43;-6486,55868;13059,11736;13228,99498
RtREV;+G+F;43;-6488,28210;13062,56420;13232,44182
LG;+G;24;-6509,11439;13066,22878;13161,04420
LG;+G+I;25;-6509,13651;13068,27302;13167,03908
Blosum62;+G+F;43;-6498,26884;13082,53768;13252,41530
JTT;+G+F;43;-6503,93352;13093,86704;13263,74466
CpREV;+G+F;43;-6508,84891;13103,69782;13273,57544
Blosum62;+G;24;-6531,13541;13110,27082;13205,08624
VT;+G;24;-6533,21729;13114,43458;13209,25000
MtZoa;+G+F;43;-6514,55677;13115,11354;13284,99116
Dayhoff;+G+F;43;-6526,49176;13138,98352;13308,86114
DCMut;+G+F;43;-6526,37531;13138,75062;13308,62824
CpREV;+G;24;-6551,11286;13150,22572;13245,04114
WAG;+G;24;-6552,25892;13152,51784;13247,33326
JTT;+G;24;-6559,59449;13167,18898;13262,00440
Flu;+G+F;43;-6568,02782;13222,05564;13391,93326
RtREV;+G;24;-6588,46590;13224,93180;13319,74722
HIVb;+G+F;43;-6573,24777;13232,49554;13402,37316
MtArt;+G+F;43;-6573,12145;13232,24290;13402,12052
MtREV;+G+F;43;-6573,14537;13232,29074;13402,16836
MtZoa;+G;24;-6615,12191;13278,24382;13373,05924
AB;+G+F;43;-6616,67566;13319,35132;13489,22894
Flu;+G;24;-6640,98877;13329,97754;13424,79296
Dayhoff;+G;24;-6648,39139;13344,78278;13439,59820
DCMut;+G;24;-6648,14151;13344,28302;13439,09844
HIVb;+G;24;-6652,74009;13353,48018;13448,29560
MtMam;+G+F;43;-6633,66060;13353,32120;13523,19882
HIVw;+G+F;43;-6690,95690;13467,91380;13637,79142
MtArt;+G;24;-6709,99125;13467,98250;13562,79792
MtREV;+G;24;-6737,43854;13522,87708;13617,69250
AB;+G;24;-6737,56597;13523,13194;13617,94736
MtMam;+G;24;-6805,77584;13659,55168;13754,36710
HIVw;+G;24;-6874,94623;13797,89246;13892,70788
