Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;73;-17541,07866;35228,15732;35580,33659
LG;+G+I+F;74;-17540,71129;35229,42258;35586,42623
WAG;+G+F;73;-17565,46483;35276,92966;35629,10893
JTT;+G+F;73;-17573,38574;35292,77148;35644,95075
VT;+G+F;73;-17591,07875;35328,15750;35680,33677
CpREV;+G+F;73;-17601,59632;35349,19264;35701,37191
LG;+G;54;-17637,23407;35382,46814;35642,98431
LG;+G+I;55;-17636,56841;35383,13682;35648,47737
RtREV;+G+F;73;-17626,34468;35398,68936;35750,86863
MtZoa;+G+F;73;-17662,42512;35470,85024;35823,02951
CpREV;+G;54;-17696,10374;35500,20748;35760,72365
Dayhoff;+G+F;73;-17686,48044;35518,96088;35871,14015
DCMut;+G+F;73;-17686,90860;35519,81720;35871,99647
MtREV;+G+F;73;-17695,96023;35537,92046;35890,09973
Blosum62;+G+F;73;-17708,70626;35563,41252;35915,59179
Blosum62;+G;54;-17786,73734;35681,47468;35941,99085
Flu;+G+F;73;-17777,49194;35700,98388;36053,16315
HIVb;+G+F;73;-17802,49652;35750,99304;36103,17231
MtZoa;+G;54;-17845,18547;35798,37094;36058,88711
MtArt;+G+F;73;-17862,36586;35870,73172;36222,91099
MtMam;+G+F;73;-17945,40687;36036,81374;36388,99301
AB;+G+F;73;-18014,80415;36175,60830;36527,78757
HIVw;+G+F;73;-18196,48943;36538,97886;36891,15813
