Model;Decoration;K;Llk;AIC;BIC
WAG;+G+F;51;-13072,86115;26247,72230;26484,42259
WAG;+G+I+F;52;-13072,86826;26249,73652;26491,07799
VT;+G+F;51;-13074,28382;26250,56764;26487,26793
JTT;+G;32;-13094,39085;26252,78170;26401,29952
JTT;+G+F;51;-13079,27169;26260,54338;26497,24367
LG;+G+F;51;-13093,94563;26289,89126;26526,59155
VT;+G;32;-13113,34917;26290,69834;26439,21616
LG;+G;32;-13140,94825;26345,89650;26494,41432
WAG;+G;32;-13141,02209;26346,04418;26494,56200
LG;+G+I;33;-13140,95517;26347,91034;26501,06935
WAG;+G+I;33;-13141,02776;26348,05552;26501,21453
CpREV;+G+F;51;-13129,37439;26360,74878;26597,44907
RtREV;+G+F;51;-13134,03038;26370,06076;26606,76105
Blosum62;+G+F;51;-13153,60397;26409,20794;26645,90823
Dayhoff;+G+F;51;-13156,73442;26415,46884;26652,16913
DCMut;+G+F;51;-13156,64751;26415,29502;26651,99531
Blosum62;+G;32;-13181,41109;26426,82218;26575,34000
CpREV;+G;32;-13183,51239;26431,02478;26579,54260
HIVb;+G+F;51;-13230,29234;26562,58468;26799,28497
Flu;+G+F;51;-13237,38772;26576,77544;26813,47573
MtREV;+G+F;51;-13238,63515;26579,27030;26815,97059
MtZoa;+G+F;51;-13280,63381;26663,26762;26899,96791
AB;+G+F;51;-13288,61404;26679,22808;26915,92837
MtMam;+G+F;51;-13419,51978;26941,03956;27177,73985
MtArt;+G+F;51;-13445,33254;26992,66508;27229,36537
HIVw;+G+F;51;-13453,95648;27009,91296;27246,61325
