Model;Decoration;K;Llk;AIC;BIC
WAG;+G+F;81;-22852,39510;45866,79020;46249,90594
WAG;+G+I+F;82;-22852,24103;45868,48206;46256,32763
CpREV;+G+F;81;-22857,09807;45876,19614;46259,31188
VT;+G+F;81;-22860,79730;45883,59460;46266,71034
LG;+G+F;81;-22875,91598;45913,83196;46296,94770
JTT;+G+F;81;-22881,69400;45925,38800;46308,50374
LG;+G;62;-22903,07281;45930,14562;46223,39471
LG;+G+I;63;-22903,07734;45932,15468;46230,13359
JTT;+G;62;-22906,53435;45937,06870;46230,31779
VT;+G;62;-22909,74677;45943,49354;46236,74263
WAG;+G;62;-22920,81703;45965,63406;46258,88315
WAG;+G+I;63;-22920,83433;45967,66866;46265,64757
CpREV;+G;62;-22959,03722;46042,07444;46335,32353
RtREV;+G+F;81;-22979,16755;46120,33510;46503,45084
Blosum62;+G;62;-23011,13892;46146,27784;46439,52693
Blosum62;+G+F;81;-22992,33164;46146,66328;46529,77902
Dayhoff;+G+F;81;-23035,05497;46232,10994;46615,22568
DCMut;+G+F;81;-23035,32499;46232,64998;46615,76572
MtREV;+G+F;81;-23079,32690;46320,65380;46703,76954
MtZoa;+G+F;81;-23092,67724;46347,35448;46730,47022
Flu;+G+F;81;-23187,11666;46536,23332;46919,34906
HIVb;+G+F;81;-23189,14051;46540,28102;46923,39676
MtZoa;+G;62;-23366,15395;46856,30790;47149,55699
MtArt;+G+F;81;-23380,35580;46922,71160;47305,82734
MtMam;+G+F;81;-23526,23883;47214,47766;47597,59340
AB;+G+F;81;-23548,93489;47259,86978;47642,98552
HIVw;+G+F;81;-23656,96770;47475,93540;47859,05114
