Model;Decoration;K;Llk;AIC;BIC
Dayhoff;+G+F;29;-1811,95516;3681,91032;3788,33686
Dayhoff;+G+I+F;30;-1810,97997;3681,95994;3792,05636
DCMut;+G+I+F;30;-1811,11274;3682,22548;3792,32190
JTT;+G+I;11;-1833,48429;3688,96858;3729,33727
WAG;+G+I+F;30;-1814,66147;3689,32294;3799,41936
JTT;+G+I+F;30;-1815,05257;3690,10514;3800,20156
CpREV;+G+I;11;-1834,77385;3691,54770;3731,91639
CpREV;+G+I+F;30;-1815,74228;3691,48456;3801,58098
LG;+G+I+F;30;-1816,60721;3693,21442;3803,31084
VT;+G+I+F;30;-1818,82695;3697,65390;3807,75032
LG;+G;10;-1839,79801;3699,59602;3736,29482
LG;+G+I;11;-1838,71325;3699,42650;3739,79519
VT;+G+I;11;-1838,78339;3699,56678;3739,93547
RtREV;+G+I+F;30;-1820,82430;3701,64860;3811,74502
WAG;+G+I;11;-1840,51081;3703,02162;3743,39031
Blosum62;+G+I+F;30;-1823,54901;3707,09802;3817,19444
Blosum62;+G+I;11;-1845,29588;3712,59176;3752,96045
MtREV;+G+I+F;30;-1826,29712;3712,59424;3822,69066
Dayhoff;+G;10;-1849,36342;3718,72684;3755,42564
Dayhoff;+G+I;11;-1848,11696;3718,23392;3758,60261
DCMut;+G+I;11;-1848,51537;3719,03074;3759,39943
Flu;+G+I+F;30;-1831,19484;3722,38968;3832,48610
MtZoa;+G+I+F;30;-1831,74038;3723,48076;3833,57718
HIVb;+G+I+F;30;-1832,61994;3725,23988;3835,33630
MtMam;+G+I+F;30;-1840,17691;3740,35382;3850,45024
RtREV;+G+I;11;-1859,46362;3740,92724;3781,29593
MtArt;+G+I+F;30;-1841,35465;3742,70930;3852,80572
AB;+G+I+F;30;-1844,39967;3748,79934;3858,89576
Flu;+G+I;11;-1868,47942;3758,95884;3799,32753
HIVb;+G+I;11;-1869,56749;3761,13498;3801,50367
MtZoa;+G+I;11;-1874,03337;3770,06674;3810,43543
HIVw;+G+I+F;30;-1858,18718;3776,37436;3886,47078
MtREV;+G+I;11;-1895,21818;3812,43636;3852,80505
MtArt;+G+I;11;-1899,83410;3821,66820;3862,03689
AB;+G+I;11;-1908,32486;3838,64972;3879,01841
MtMam;+G+I;11;-1908,08711;3838,17422;3878,54291
HIVw;+G+I;11;-1923,33943;3868,67886;3909,04755
