Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;183;-62423,71578;125213,43156;126129,15882
LG;+G+I+F;184;-62423,79297;125215,58594;126136,31718
LG;+G+I;165;-62460,63336;125251,26672;126076,92245
LG;+G;164;-62462,09239;125252,18478;126072,83653
WAG;+G+I+F;184;-62476,85072;125321,70144;126242,43268
VT;+G+I+F;184;-62577,43711;125522,87422;126443,60546
CpREV;+G+I+F;184;-62637,77610;125643,55220;126564,28344
JTT;+G+I+F;184;-62671,55924;125711,11848;126631,84972
RtREV;+G+I+F;184;-62837,86404;126043,72808;126964,45932
CpREV;+G+I;165;-62899,10921;126128,21842;126953,87415
Blosum62;+G+I+F;184;-62954,41223;126276,82446;127197,55570
Blosum62;+G+I;165;-63002,60495;126335,20990;127160,86563
Dayhoff;+G+I+F;184;-63062,26014;126492,52028;127413,25152
DCMut;+G+I+F;184;-63064,12634;126496,25268;127416,98392
MtZoa;+G+I+F;184;-63347,84495;127063,68990;127984,42114
MtREV;+G+I+F;184;-63409,58877;127187,17754;128107,90878
Flu;+G+I+F;184;-63502,26648;127372,53296;128293,26420
HIVb;+G+I+F;184;-63759,04229;127886,08458;128806,81582
MtZoa;+G+I;165;-64048,56735;128427,13470;129252,79043
AB;+G+I+F;184;-64163,74312;128695,48624;129616,21748
MtArt;+G+I+F;184;-64340,40833;129048,81666;129969,54790
MtMam;+G+I+F;184;-64774,17546;129916,35092;130837,08216
HIVw;+G+I+F;184;-65232,35892;130832,71784;131753,44908
