Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;63;-20931,77784;41989,55568;42306,83303
LG;+G+I+F;64;-20931,74746;41991,49492;42313,80842
LG;+G;44;-20966,16420;42020,32840;42241,91893
LG;+G+I;45;-20966,15652;42022,31304;42248,93972
JTT;+G;44;-20978,17071;42044,34142;42265,93195
JTT;+G+F;63;-20960,89911;42047,79822;42365,07557
WAG;+G+F;63;-20971,70940;42069,41880;42386,69615
WAG;+G;44;-21020,98958;42129,97916;42351,56969
RtREV;+G+F;63;-21002,04339;42130,08678;42447,36413
VT;+G+F;63;-21003,21534;42132,43068;42449,70803
VT;+G;44;-21035,15856;42158,31712;42379,90765
CpREV;+G+F;63;-21058,96682;42243,93364;42561,21099
Dayhoff;+G+F;63;-21090,62312;42307,24624;42624,52359
DCMut;+G+F;63;-21091,13515;42308,27030;42625,54765
CpREV;+G;44;-21145,28939;42378,57878;42600,16931
Blosum62;+G+F;63;-21134,92023;42395,84046;42713,11781
Blosum62;+G;44;-21170,07626;42428,15252;42649,74305
MtREV;+G+F;63;-21163,04906;42452,09812;42769,37547
MtZoa;+G+F;63;-21180,48176;42486,96352;42804,24087
Flu;+G+F;63;-21236,78930;42599,57860;42916,85595
HIVb;+G+F;63;-21337,80989;42801,61978;43118,89713
MtArt;+G+F;63;-21372,89522;42871,79044;43189,06779
AB;+G+F;63;-21409,14123;42944,28246;43261,55981
MtMam;+G+F;63;-21503,55554;43133,11108;43450,38843
HIVw;+G+F;63;-21734,25430;43594,50860;43911,78595
