Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;31;-2904,65181;5871,30362;5985,80931
JTT;+G+I+F;32;-2904,65526;5873,31052;5991,50994
HIVb;+G+F;31;-2911,02786;5884,05572;5998,56141
JTT;+G;12;-2931,33087;5886,66174;5930,98652
JTT;+G+I;13;-2931,33396;5888,66792;5936,68643
Flu;+G+F;31;-2917,10696;5896,21392;6010,71961
HIVb;+G;12;-2941,65299;5907,30598;5951,63076
LG;+G;12;-2942,55436;5909,10872;5953,43350
LG;+G+I;13;-2942,55769;5911,11538;5959,13389
LG;+G+F;31;-2926,01649;5914,03298;6028,53867
WAG;+G+F;31;-2926,74864;5915,49728;6030,00297
VT;+G+F;31;-2929,53709;5921,07418;6035,57987
HIVw;+G+F;31;-2930,85289;5923,70578;6038,21147
VT;+G;12;-2950,16049;5924,32098;5968,64576
CpREV;+G;12;-2951,24311;5926,48622;5970,81100
CpREV;+G+F;31;-2934,69856;5931,39712;6045,90281
WAG;+G;12;-2954,90064;5933,80128;5978,12606
MtREV;+G+F;31;-2937,27846;5936,55692;6051,06261
MtZoa;+G+F;31;-2940,04411;5942,08822;6056,59391
Dayhoff;+G+F;31;-2942,14728;5946,29456;6060,80025
DCMut;+G+F;31;-2942,33087;5946,66174;6061,16743
Flu;+G;12;-2961,30169;5946,60338;5990,92816
Blosum62;+G;12;-2962,18984;5948,37968;5992,70446
RtREV;+G+F;31;-2944,24156;5950,48312;6064,98881
AB;+G+F;31;-2948,17207;5958,34414;6072,84983
Blosum62;+G+F;31;-2949,44229;5960,88458;6075,39027
MtMam;+G+F;31;-2956,66878;5975,33756;6089,84325
RtREV;+G;12;-2984,70134;5993,40268;6037,72746
MtArt;+G+F;31;-2969,48970;6000,97940;6115,48509
Dayhoff;+G;12;-2992,41767;6008,83534;6053,16012
DCMut;+G;12;-2992,56276;6009,12552;6053,45030
MtZoa;+G;12;-3018,30422;6060,60844;6104,93322
AB;+G;12;-3021,07177;6066,14354;6110,46832
HIVw;+G;12;-3021,71078;6067,42156;6111,74634
MtREV;+G;12;-3038,15037;6100,30074;6144,62552
MtMam;+G;12;-3059,54155;6143,08310;6187,40788
MtArt;+G;12;-3064,01641;6152,03282;6196,35760
