Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;255;-90393,04013;181296,08026;182536,61644
LG;+G+I+F;256;-90393,11322;181298,22644;182543,62747
WAG;+G+F;255;-90691,11024;181892,22048;183132,75666
VT;+G+F;255;-90710,69365;181931,38730;183171,92348
LG;+G;236;-90835,73842;182143,47684;183291,58091
LG;+G+I;237;-90835,81220;182145,62440;183298,59332
RtREV;+G+F;255;-90933,61476;182377,22952;183617,76570
CpREV;+G+F;255;-91008,76019;182527,52038;183768,05656
Blosum62;+G+F;255;-91057,71870;182625,43740;183865,97358
JTT;+G+F;255;-91150,25864;182810,51728;184051,05346
MtZoa;+G+F;255;-91407,80404;183325,60808;184566,14426
Blosum62;+G;236;-91432,80164;183337,60328;184485,70735
CpREV;+G;236;-91615,47865;183702,95730;184851,06137
DCMut;+G+F;255;-91622,02853;183754,05706;184994,59324
Dayhoff;+G+F;255;-91622,74646;183755,49292;184996,02910
MtREV;+G+F;255;-92148,16884;184806,33768;186046,87386
MtZoa;+G;236;-92324,58696;185121,17392;186269,27799
MtArt;+G+F;255;-92427,33921;185364,67842;186605,21460
Flu;+G+F;255;-92581,59798;185673,19596;186913,73214
HIVb;+G+F;255;-92652,96500;185815,93000;187056,46618
AB;+G+F;255;-93408,63101;187327,26202;188567,79820
MtMam;+G+F;255;-94090,27568;188690,55136;189931,08754
HIVw;+G+F;255;-95377,48564;191264,97128;192505,50746
