Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;425;-169798,33097;340446,66194;342757,47464
LG;+G+I+F;426;-169798,43361;340448,86722;342765,11713
VT;+G+F;425;-169909,05259;340668,10518;342978,91788
WAG;+G+F;425;-170006,31611;340862,63222;343173,44492
JTT;+G+F;425;-170037,89504;340925,79008;343236,60278
LG;+G;406;-170582,09769;341976,19538;344183,70116
LG;+G+I;407;-170582,20383;341978,40766;344191,35065
CpREV;+G+F;425;-170777,95337;342405,90674;344716,71944
JTT;+G;406;-170830,89349;342473,78698;344681,29276
Blosum62;+G+F;425;-170888,27347;342626,54694;344937,35964
RtREV;+G+F;425;-170898,75570;342647,51140;344958,32410
DCMut;+G+F;425;-171308,87068;343467,74136;345778,55406
Dayhoff;+G+F;425;-171310,45220;343470,90440;345781,71710
Blosum62;+G;406;-171541,99035;343895,98070;346103,48648
MtZoa;+G+F;425;-171553,82193;343957,64386;346268,45656
CpREV;+G;406;-171794,03325;344400,06650;346607,57228
MtREV;+G+F;425;-171871,75151;344593,50302;346904,31572
Flu;+G+F;425;-172778,77225;346407,54450;348718,35720
HIVb;+G+F;425;-172973,98402;346797,96804;349108,78074
MtArt;+G+F;425;-173731,01813;348312,03626;350622,84896
AB;+G+F;425;-174058,92033;348967,84066;351278,65336
MtMam;+G+F;425;-175038,03609;350926,07218;353236,88488
HIVw;+G+F;425;-176991,40763;354832,81526;357143,62796
