Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;42;-9720,08067;19524,16134;19715,84327
JTT;+G+F;41;-9724,34909;19530,69818;19717,81625
WAG;+G+I+F;42;-9764,58361;19613,16722;19804,84915
LG;+G+I+F;42;-9765,15746;19614,31492;19805,99685
JTT;+G+I;23;-9792,67641;19631,35282;19736,32149
JTT;+G;22;-9799,31720;19642,63440;19743,03922
Dayhoff;+G+I+F;42;-9782,76345;19649,52690;19841,20883
DCMut;+G+I+F;42;-9783,39325;19650,78650;19842,46843
CpREV;+G+I+F;42;-9786,09863;19656,19726;19847,87919
VT;+G+I+F;42;-9786,26410;19656,52820;19848,21013
HIVb;+G+I+F;42;-9806,48831;19696,97662;19888,65855
MtREV;+G+I+F;42;-9812,22765;19708,45530;19900,13723
LG;+G+I;23;-9831,89410;19709,78820;19814,75687
LG;+G;22;-9835,52367;19715,04734;19815,45216
RtREV;+G+I+F;42;-9819,30384;19722,60768;19914,28961
Flu;+G+I+F;42;-9832,98409;19749,96818;19941,65011
MtZoa;+G+I+F;42;-9832,54527;19749,09054;19940,77247
CpREV;+G+I;23;-9863,76234;19773,52468;19878,49335
Blosum62;+G+I+F;42;-9875,04065;19834,08130;20025,76323
Blosum62;+G+I;23;-9925,26923;19896,53846;20001,50713
AB;+G+I+F;42;-9917,78329;19919,56658;20111,24851
MtMam;+G+I+F;42;-9919,92007;19923,84014;20115,52207
MtArt;+G+I+F;42;-9929,82384;19943,64768;20135,32961
HIVw;+G+I+F;42;-10014,44373;20112,88746;20304,56939
