Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;119;-35987,22346;72212,44692;72828,14796
JTT;+G+I+F;120;-35986,00425;72212,00850;72832,88349
JTT;+G;100;-36107,33494;72414,66988;72932,06571
JTT;+G+I;101;-36106,70228;72415,40456;72937,97435
VT;+G+F;119;-36120,86937;72479,73874;73095,43978
WAG;+G+F;119;-36218,08306;72674,16612;73289,86716
LG;+G+F;119;-36245,62787;72729,25574;73344,95678
CpREV;+G+F;119;-36304,79922;72847,59844;73463,29948
Dayhoff;+G+F;119;-36419,84221;73077,68442;73693,38546
DCMut;+G+F;119;-36419,92521;73077,85042;73693,55146
LG;+G;100;-36450,42482;73100,84964;73618,24547
LG;+G+I;101;-36450,48180;73102,96360;73625,53339
HIVb;+G+F;119;-36463,55034;73165,10068;73780,80172
Blosum62;+G+F;119;-36465,99689;73169,99378;73785,69482
RtREV;+G+F;119;-36526,38730;73290,77460;73906,47564
CpREV;+G;100;-36565,42517;73330,85034;73848,24617
Blosum62;+G;100;-36611,18707;73422,37414;73939,76997
MtREV;+G+F;119;-36609,84349;73457,68698;74073,38802
MtZoa;+G+F;119;-36684,45842;73606,91684;74222,61788
Flu;+G+F;119;-36700,68123;73639,36246;74255,06350
AB;+G+F;119;-36883,48724;74004,97448;74620,67552
MtMam;+G+F;119;-37160,08823;74558,17646;75173,87750
HIVw;+G+F;119;-37168,71495;74575,42990;75191,13094
MtArt;+G+F;119;-37341,36793;74920,73586;75536,43690
