Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;162;-73768,28185;147860,56370;148689,81355
LG;+G+F;161;-73771,97777;147865,95554;148690,08656
LG;+G+I;143;-73938,99575;148163,99150;148895,98365
LG;+G;142;-73942,21845;148168,43690;148895,31022
WAG;+G+I+F;162;-74019,58572;148363,17144;149192,42129
JTT;+G+I+F;162;-74049,69956;148423,39912;149252,64897
VT;+G+I+F;162;-74102,03538;148528,07076;149357,32061
VT;+G+I;143;-74250,70455;148787,40910;149519,40125
RtREV;+G+I+F;162;-74256,31297;148836,62594;149665,87579
CpREV;+G+I+F;162;-74380,50978;149085,01956;149914,26941
Dayhoff;+G+I+F;162;-74489,36788;149302,73576;150131,98561
DCMut;+G+I+F;162;-74491,79766;149307,59532;150136,84517
CpREV;+G+I;143;-74574,67935;149435,35870;150167,35085
Blosum62;+G+I+F;162;-74592,20208;149508,40416;150337,65401
Blosum62;+G+I;143;-74692,55844;149671,11688;150403,10903
MtZoa;+G+I+F;162;-74701,78693;149727,57386;150556,82371
MtREV;+G+I+F;162;-74945,88204;150215,76408;151045,01393
Flu;+G+I+F;162;-75099,64137;150523,28274;151352,53259
HIVb;+G+I+F;162;-75117,57701;150559,15402;151388,40387
MtArt;+G+I+F;162;-75664,65725;151653,31450;152482,56435
AB;+G+I+F;162;-75871,99821;152067,99642;152897,24627
MtMam;+G+I+F;162;-76121,29285;152566,58570;153395,83555
HIVw;+G+I+F;162;-76957,93024;154239,86048;155069,11033
