Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;51;-3234,52288;6571,04576;6748,13156
LG;+G+I+F;52;-3234,36254;6572,72508;6753,28315
RtREV;+G+F;51;-3246,59186;6595,18372;6772,26952
VT;+G+F;51;-3247,04539;6596,09078;6773,17658
WAG;+G+F;51;-3250,78640;6603,57280;6780,65860
MtZoa;+G+F;51;-3254,97456;6611,94912;6789,03492
Blosum62;+G+F;51;-3256,23656;6614,47312;6791,55892
JTT;+G+F;51;-3259,00610;6620,01220;6797,09800
CpREV;+G+F;51;-3262,70314;6627,40628;6804,49208
LG;+G;32;-3283,80110;6631,60220;6742,71486
LG;+G+I;33;-3283,60043;6633,20086;6747,78579
VT;+G;32;-3292,96997;6649,93994;6761,05260
DCMut;+G+F;51;-3275,95192;6653,90384;6830,98964
WAG;+G;32;-3294,74191;6653,48382;6764,59648
Dayhoff;+G+F;51;-3276,03348;6654,06696;6831,15276
MtREV;+G+F;51;-3278,61857;6659,23714;6836,32294
MtArt;+G+F;51;-3279,88450;6661,76900;6838,85480
Blosum62;+G;32;-3299,48246;6662,96492;6774,07758
JTT;+G;32;-3300,15966;6664,31932;6775,43198
RtREV;+G;32;-3312,05110;6688,10220;6799,21486
CpREV;+G;32;-3318,89955;6701,79910;6812,91176
HIVb;+G+F;51;-3303,23831;6708,47662;6885,56242
Dayhoff;+G;32;-3327,68109;6719,36218;6830,47484
DCMut;+G;32;-3327,58069;6719,16138;6830,27404
Flu;+G+F;51;-3310,79647;6723,59294;6900,67874
AB;+G+F;51;-3316,13984;6734,27968;6911,36548
MtMam;+G+F;51;-3329,76729;6761,53458;6938,62038
MtZoa;+G;32;-3348,68617;6761,37234;6872,48500
MtREV;+G;32;-3374,77129;6813,54258;6924,65524
HIVb;+G;32;-3375,45254;6814,90508;6926,01774
HIVw;+G+F;51;-3371,86755;6845,73510;7022,82090
Flu;+G;32;-3393,35242;6850,70484;6961,81750
AB;+G;32;-3397,64007;6859,28014;6970,39280
MtArt;+G;32;-3410,96172;6885,92344;6997,03610
MtMam;+G;32;-3437,78039;6939,56078;7050,67344
HIVw;+G;32;-3521,42869;7106,85738;7217,97004
