Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;88;-13183,30081;26542,60162;26909,52736
LG;+G+F;87;-13185,51961;26545,03922;26907,79535
LG;+G+I;69;-13213,52120;26565,04240;26852,74554
LG;+G;68;-13216,71437;26569,42874;26852,96226
CpREV;+G+I+F;88;-13262,83186;26701,66372;27068,58946
WAG;+G+I+F;88;-13271,18163;26718,36326;27085,28900
VT;+G+I+F;88;-13272,56143;26721,12286;27088,04860
RtREV;+G+I+F;88;-13276,43946;26728,87892;27095,80466
VT;+G+I;69;-13304,03304;26746,06608;27033,76922
CpREV;+G+I;69;-13322,81089;26783,62178;27071,32492
JTT;+G+I;69;-13326,48847;26790,97694;27078,68008
JTT;+G+I+F;88;-13311,96784;26799,93568;27166,86142
MtZoa;+G+I+F;88;-13319,23943;26814,47886;27181,40460
Blosum62;+G+I+F;88;-13328,76949;26833,53898;27200,46472
MtREV;+G+I+F;88;-13437,26823;27050,53646;27417,46220
Dayhoff;+G+I+F;88;-13440,61102;27057,22204;27424,14778
DCMut;+G+I+F;88;-13440,66516;27057,33032;27424,25606
MtArt;+G+I+F;88;-13474,31849;27124,63698;27491,56272
Flu;+G+I+F;88;-13507,15412;27190,30824;27557,23398
HIVb;+G+I+F;88;-13526,23631;27228,47262;27595,39836
AB;+G+I+F;88;-13627,03467;27430,06934;27796,99508
MtMam;+G+I+F;88;-13672,34231;27520,68462;27887,61036
HIVw;+G+I+F;88;-13872,78181;27921,56362;28288,48936
