Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;84;-17471,16003;35110,32006;35483,89375
JTT;+G+F;83;-17473,12570;35112,25140;35481,37778
LG;+G+F;83;-17500,87250;35167,74500;35536,87138
JTT;+G+I;65;-17530,18938;35190,37876;35479,45364
JTT;+G;64;-17532,50457;35193,00914;35477,63671
WAG;+G+F;83;-17523,81097;35213,62194;35582,74832
VT;+G+F;83;-17537,47219;35240,94438;35610,07076
CpREV;+G+F;83;-17539,27655;35244,55310;35613,67948
LG;+G;64;-17576,68455;35281,36910;35565,99667
LG;+G+I;65;-17576,69974;35283,39948;35572,47436
Dayhoff;+G+F;83;-17603,65590;35373,31180;35742,43818
DCMut;+G+F;83;-17604,33153;35374,66306;35743,78944
CpREV;+G;64;-17627,92337;35383,84674;35668,47431
RtREV;+G+F;83;-17623,22810;35412,45620;35781,58258
MtZoa;+G+F;83;-17653,70322;35473,40644;35842,53282
Flu;+G+F;83;-17665,34188;35496,68376;35865,81014
HIVb;+G+F;83;-17666,24254;35498,48508;35867,61146
Blosum62;+G+F;83;-17680,60662;35527,21324;35896,33962
MtREV;+G+F;83;-17693,75181;35553,50362;35922,63000
Blosum62;+G;64;-17746,44301;35620,88602;35905,51359
AB;+G+F;83;-17831,28246;35828,56492;36197,69130
MtZoa;+G;64;-17868,23445;35864,46890;36149,09647
MtMam;+G+F;83;-17877,21334;35920,42668;36289,55306
MtArt;+G+F;83;-17895,02498;35956,04996;36325,17634
HIVw;+G+F;83;-17998,11868;36162,23736;36531,36374
