Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;60;-12586,91675;25293,83350;25595,68494
LG;+G+I;41;-12606,91632;25295,83264;25502,09779
LG;+G+F;59;-12596,97633;25311,95266;25608,77325
LG;+G;40;-12617,54322;25315,08644;25516,32073
WAG;+G+I+F;60;-12597,98076;25315,96152;25617,81296
VT;+G+I+F;60;-12613,34122;25346,68244;25648,53388
JTT;+G+I+F;60;-12622,07506;25364,15012;25666,00156
VT;+G+I;41;-12645,74786;25373,49572;25579,76087
Dayhoff;+G+I+F;60;-12627,53334;25375,06668;25676,91812
DCMut;+G+I+F;60;-12627,60001;25375,20002;25677,05146
RtREV;+G+I+F;60;-12631,27259;25382,54518;25684,39662
JTT;+G+I;41;-12674,10781;25430,21562;25636,48077
Blosum62;+G+I+F;60;-12661,44735;25442,89470;25744,74614
CpREV;+G+I+F;60;-12700,42863;25520,85726;25822,70870
Flu;+G+I+F;60;-12732,18781;25584,37562;25886,22706
MtZoa;+G+I+F;60;-12735,75817;25591,51634;25893,36778
MtREV;+G+I+F;60;-12794,80805;25709,61610;26011,46754
HIVb;+G+I+F;60;-12804,31476;25728,62952;26030,48096
AB;+G+I+F;60;-12850,09344;25820,18688;26122,03832
MtArt;+G+I+F;60;-12870,18990;25860,37980;26162,23124
MtMam;+G+I+F;60;-12983,74478;26087,48956;26389,34100
HIVw;+G+I+F;60;-13030,01706;26180,03412;26481,88556
