Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;41;-7084,23336;14250,46672;14414,62608
LG;+G+I+F;42;-7084,23766;14252,47532;14420,63857
WAG;+G+F;41;-7112,59050;14307,18100;14471,34036
LG;+G;22;-7137,51823;14319,03646;14407,12197
LG;+G+I;23;-7137,52050;14321,04100;14413,13040
RtREV;+G+F;41;-7120,79527;14323,59054;14487,74990
CpREV;+G+F;41;-7124,98433;14331,96866;14496,12802
VT;+G+F;41;-7126,95992;14335,91984;14500,07920
JTT;+G+F;41;-7143,58600;14369,17200;14533,33136
Blosum62;+G+F;41;-7156,90553;14395,81106;14559,97042
MtZoa;+G+F;41;-7158,44118;14398,88236;14563,04172
CpREV;+G;22;-7178,18212;14400,36424;14488,44975
Dayhoff;+G+F;41;-7164,16312;14410,32624;14574,48560
DCMut;+G+F;41;-7164,38171;14410,76342;14574,92278
VT;+G;22;-7190,81068;14425,62136;14513,70687
WAG;+G;22;-7197,14570;14438,29140;14526,37691
JTT;+G;22;-7198,90286;14441,80572;14529,89123
Blosum62;+G;22;-7203,01850;14450,03700;14538,12251
MtREV;+G+F;41;-7187,50485;14457,00970;14621,16906
MtZoa;+G;22;-7209,15446;14462,30892;14550,39443
HIVb;+G+F;41;-7214,91532;14511,83064;14675,99000
Flu;+G+F;41;-7222,09794;14526,19588;14690,35524
MtArt;+G+F;41;-7224,28480;14530,56960;14694,72896
RtREV;+G;22;-7249,87032;14543,74064;14631,82615
Dayhoff;+G;22;-7287,42758;14618,85516;14706,94067
DCMut;+G;22;-7287,59188;14619,18376;14707,26927
AB;+G+F;41;-7291,13372;14664,26744;14828,42680
MtMam;+G+F;41;-7292,66308;14667,32616;14831,48552
Flu;+G;22;-7312,79913;14669,59826;14757,68377
MtArt;+G;22;-7313,06463;14670,12926;14758,21477
HIVb;+G;22;-7324,50057;14693,00114;14781,08665
MtREV;+G;22;-7350,26669;14744,53338;14832,61889
AB;+G;22;-7425,99890;14895,99780;14984,08331
HIVw;+G+F;41;-7416,10525;14914,21050;15078,36986
MtMam;+G;22;-7452,07810;14948,15620;15036,24171
HIVw;+G;22;-7616,08254;15276,16508;15364,25059
