Model;Decoration;K;Llk;AIC;BIC
JTT;+G;24;-14452,42409;28952,84818;29078,79520
JTT;+G+I;25;-14451,71929;28953,43858;29084,63339
VT;+G+F;43;-14442,26915;28970,53830;29196,19338
JTT;+G+F;43;-14449,18029;28984,36058;29210,01566
JTT;+G+I+F;44;-14448,89085;28985,78170;29216,68457
VT;+G;24;-14478,43355;29004,86710;29130,81412
WAG;+G+F;43;-14464,34025;29014,68050;29240,33558
LG;+G+F;43;-14468,50380;29023,00760;29248,66268
LG;+G;24;-14516,66957;29081,33914;29207,28616
CpREV;+G+F;43;-14498,07853;29082,15706;29307,81214
LG;+G+I;25;-14516,34678;29082,69356;29213,88837
Blosum62;+G+F;43;-14516,64028;29119,28056;29344,93564
RtREV;+G+F;43;-14520,26434;29126,52868;29352,18376
Dayhoff;+G+F;43;-14547,02532;29180,05064;29405,70572
DCMut;+G+F;43;-14547,09529;29180,19058;29405,84566
Blosum62;+G;24;-14575,64776;29199,29552;29325,24254
CpREV;+G;24;-14588,91779;29225,83558;29351,78260
HIVb;+G+F;43;-14579,26807;29244,53614;29470,19122
MtZoa;+G+F;43;-14580,32689;29246,65378;29472,30886
Flu;+G+F;43;-14588,49124;29262,98248;29488,63756
MtREV;+G+F;43;-14600,98402;29287,96804;29513,62312
AB;+G+F;43;-14683,29021;29452,58042;29678,23550
MtArt;+G+F;43;-14706,53161;29499,06322;29724,71830
MtMam;+G+F;43;-14731,85825;29549,71650;29775,37158
HIVw;+G+F;43;-14766,74670;29619,49340;29845,14848
