Model;Decoration;K;Llk;AIC;BIC
WAG;+G+F;181;-137483,08823;275328,17646;276402,19369
WAG;+G+I+F;182;-137483,22844;275330,45688;276410,40791
LG;+G+F;181;-137541,46003;275444,92006;276518,93729
VT;+G+F;181;-137592,25418;275546,50836;276620,52559
LG;+G;162;-137636,19557;275596,39114;276557,66623
LG;+G+I;163;-137636,32473;275598,64946;276565,85835
VT;+G;162;-137690,71262;275705,42524;276666,70033
WAG;+G;162;-137856,38280;276036,76560;276998,04069
WAG;+G+I;163;-137856,50955;276039,01910;277006,22799
Blosum62;+G+F;181;-138037,91358;276437,82716;277511,84439
JTT;+G+F;181;-138056,59542;276475,19084;277549,20807
JTT;+G;162;-138124,18571;276572,37142;277533,64651
RtREV;+G+F;181;-138195,94645;276753,89290;277827,91013
Blosum62;+G;162;-138226,53670;276777,07340;277738,34849
CpREV;+G+F;181;-138227,70381;276817,40762;277891,42485
DCMut;+G+F;181;-138522,34330;277406,68660;278480,70383
Dayhoff;+G+F;181;-138523,49321;277408,98642;278483,00365
Flu;+G+F;181;-139403,64256;279169,28512;280243,30235
MtZoa;+G+F;181;-139416,31325;279194,62650;280268,64373
MtREV;+G+F;181;-139459,23267;279280,46534;280354,48257
HIVb;+G+F;181;-140162,65761;280687,31522;281761,33245
AB;+G+F;181;-140572,43396;281506,86792;282580,88515
MtArt;+G+F;181;-141065,68089;282493,36178;283567,37901
MtMam;+G+F;181;-141740,34355;283842,68710;284916,70433
HIVw;+G+F;181;-142685,32935;285732,65870;286806,67593
