Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I;119;-41901,18070;84040,36140;84684,69557
JTT;+G;118;-41918,65306;84073,30612;84712,22571
JTT;+G+I+F;138;-41981,26761;84238,53522;84985,74627
JTT;+G+F;137;-41995,98755;84265,97510;85007,77158
VT;+G+I;119;-42044,89747;84327,79494;84972,12911
LG;+G+I;119;-42070,46056;84378,92112;85023,25529
LG;+G;118;-42077,49254;84390,98508;85029,90467
VT;+G+I+F;138;-42097,29933;84470,59866;85217,80971
WAG;+G+I;119;-42127,80190;84493,60380;85137,93797
WAG;+G+I+F;138;-42120,01889;84516,03778;85263,24883
LG;+G+I+F;138;-42138,64305;84553,28610;85300,49715
Dayhoff;+G+I+F;138;-42296,10885;84868,21770;85615,42875
DCMut;+G+I+F;138;-42296,10760;84868,21520;85615,42625
CpREV;+G+I+F;138;-42309,07017;84894,14034;85641,35139
CpREV;+G+I;119;-42378,98957;84995,97914;85640,31331
RtREV;+G+I+F;138;-42379,96492;85035,92984;85783,14089
Blosum62;+G+I;119;-42418,96439;85075,92878;85720,26295
DCMut;+G+I;119;-42454,68935;85147,37870;85791,71287
Dayhoff;+G+I;119;-42455,21387;85148,42774;85792,76191
Blosum62;+G+I+F;138;-42439,32011;85154,64022;85901,85127
Flu;+G+I+F;138;-42515,17340;85306,34680;86053,55785
HIVb;+G+I+F;138;-42544,57997;85365,15994;86112,37099
MtZoa;+G+I+F;138;-42649,25866;85574,51732;86321,72837
MtREV;+G+I+F;138;-42682,78155;85641,56310;86388,77415
AB;+G+I+F;138;-42958,37119;86192,74238;86939,95343
HIVw;+G+I+F;138;-43220,11673;86716,23346;87463,44451
MtArt;+G+I+F;138;-43273,60018;86823,20036;87570,41141
MtMam;+G+I+F;138;-43348,09740;86972,19480;87719,40585
MtZoa;+G+I;119;-43619,01067;87476,02134;88120,35551
