Model;Decoration;K;Llk;AIC;BIC
VT;+G+I+F;52;-13925,05741;27954,11482;28189,79620
VT;+G+F;51;-13931,44555;27964,89110;28196,04014
WAG;+G+I+F;52;-13935,37816;27974,75632;28210,43770
LG;+G+I+F;52;-13947,71406;27999,42812;28235,10950
VT;+G+I;33;-13983,81326;28033,62652;28183,19355
Blosum62;+G+I+F;52;-13972,55420;28049,10840;28284,78978
VT;+G;32;-13993,60158;28051,20316;28196,23785
LG;+G+I;33;-14003,19849;28072,39698;28221,96401
JTT;+G+I+F;52;-13985,88832;28075,77664;28311,45802
LG;+G;32;-14013,96472;28091,92944;28236,96413
RtREV;+G+I+F;52;-13994,85993;28093,71986;28329,40124
Blosum62;+G+I;33;-14024,45396;28114,90792;28264,47495
JTT;+G+I;33;-14038,93560;28143,87120;28293,43823
CpREV;+G+I+F;52;-14020,26382;28144,52764;28380,20902
DCMut;+G+I+F;52;-14023,87968;28151,75936;28387,44074
Dayhoff;+G+I+F;52;-14024,07310;28152,14620;28387,82758
MtZoa;+G+I+F;52;-14104,13853;28312,27706;28547,95844
Flu;+G+I+F;52;-14124,02185;28352,04370;28587,72508
MtREV;+G+I+F;52;-14148,91943;28401,83886;28637,52024
HIVb;+G+I+F;52;-14163,44806;28430,89612;28666,57750
AB;+G+I+F;52;-14196,20559;28496,41118;28732,09256
MtArt;+G+I+F;52;-14220,24098;28544,48196;28780,16334
MtMam;+G+I+F;52;-14321,54781;28747,09562;28982,77700
HIVw;+G+I+F;52;-14391,92053;28887,84106;29123,52244
