Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;82;-23022,24433;46208,48866;46612,46797
LG;+G+F;81;-23030,76697;46223,53394;46622,58667
JTT;+G+I+F;82;-23057,49302;46278,98604;46682,96535
LG;+G+I;63;-23082,38598;46290,77196;46601,14631
WAG;+G+I+F;82;-23064,04531;46292,09062;46696,06993
LG;+G;62;-23094,07304;46312,14608;46617,59385
VT;+G+I+F;82;-23074,83138;46313,66276;46717,64207
CpREV;+G+I+F;82;-23125,35992;46414,71984;46818,69915
RtREV;+G+I+F;82;-23186,87249;46537,74498;46941,72429
Dayhoff;+G+I+F;82;-23201,63148;46567,26296;46971,24227
DCMut;+G+I+F;82;-23202,24166;46568,48332;46972,46263
MtZoa;+G+I+F;82;-23213,84776;46591,69552;46995,67483
CpREV;+G+I;63;-23246,53370;46619,06740;46929,44175
Blosum62;+G+I+F;82;-23230,45875;46624,91750;47028,89681
Blosum62;+G+I;63;-23302,58076;46731,16152;47041,53587
MtREV;+G+I+F;82;-23291,12042;46746,24084;47150,22015
Flu;+G+I+F;82;-23368,56390;46901,12780;47305,10711
HIVb;+G+I+F;82;-23399,12886;46962,25772;47366,23703
MtArt;+G+I+F;82;-23488,33990;47140,67980;47544,65911
MtZoa;+G+I;63;-23523,23246;47172,46492;47482,83927
MtMam;+G+I+F;82;-23623,28212;47410,56424;47814,54355
AB;+G+I+F;82;-23637,03056;47438,06112;47842,04043
HIVw;+G+I+F;82;-23863,41291;47890,82582;48294,80513
