Model;Decoration;K;Llk;AIC;BIC
LG;+G+I;23;-10038,34433;20122,68866;20228,36016
LG;+G;22;-10040,21897;20124,43794;20225,51503
LG;+G+I+F;42;-10026,33986;20136,67972;20329,64508
LG;+G+F;41;-10028,02148;20138,04296;20326,41391
VT;+G+I+F;42;-10055,57148;20195,14296;20388,10832
RtREV;+G+I+F;42;-10060,17245;20204,34490;20397,31026
VT;+G+I;23;-10079,46777;20204,93554;20310,60704
WAG;+G+I+F;42;-10061,15981;20206,31962;20399,28498
JTT;+G+I+F;42;-10069,65127;20223,30254;20416,26790
CpREV;+G+I;23;-10091,07380;20228,14760;20333,81910
MtZoa;+G+I+F;42;-10072,16957;20228,33914;20421,30450
Blosum62;+G+I;23;-10096,73351;20239,46702;20345,13852
CpREV;+G+I+F;42;-10081,45109;20246,90218;20439,86754
WAG;+G+I;23;-10101,21329;20248,42658;20354,09808
Blosum62;+G+I+F;42;-10087,37044;20258,74088;20451,70624
JTT;+G+I;23;-10113,57387;20273,14774;20378,81924
Dayhoff;+G+I+F;42;-10129,27924;20342,55848;20535,52384
DCMut;+G+I+F;42;-10129,44864;20342,89728;20535,86264
MtREV;+G+I+F;42;-10130,49737;20344,99474;20537,96010
MtArt;+G+I+F;42;-10154,86166;20393,72332;20586,68868
Flu;+G+I+F;42;-10168,23044;20420,46088;20613,42624
HIVb;+G+I+F;42;-10195,93955;20475,87910;20668,84446
HIVb;+G+I;23;-10258,44754;20562,89508;20668,56658
MtMam;+G+I+F;42;-10271,51611;20627,03222;20819,99758
AB;+G+I+F;42;-10284,38051;20652,76102;20845,72638
HIVw;+G+I+F;42;-10372,05806;20828,11612;21021,08148
