Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;132;-49804,17812;99872,35624;100579,21649
LG;+G+F;131;-49825,34412;99912,68824;100614,19349
WAG;+G+I+F;132;-49848,71770;99961,43540;100668,29565
JTT;+G+I;113;-49870,28597;99966,57194;100571,68715
LG;+G+I;113;-49887,30018;100000,60036;100605,71557
JTT;+G+I+F;132;-49872,43656;100008,87312;100715,73337
LG;+G;112;-49909,16227;100042,32454;100642,08475
VT;+G+I+F;132;-49913,94770;100091,89540;100798,75565
VT;+G+I;113;-49941,68520;100109,37040;100714,48561
CpREV;+G+I+F;132;-50036,40768;100336,81536;101043,67561
RtREV;+G+I+F;132;-50061,15945;100386,31890;101093,17915
Dayhoff;+G+I+F;132;-50194,71384;100653,42768;101360,28793
DCMut;+G+I+F;132;-50195,95634;100655,91268;101362,77293
CpREV;+G+I;113;-50218,01692;100662,03384;101267,14905
Blosum62;+G+I+F;132;-50226,50670;100717,01340;101423,87365
Blosum62;+G+I;113;-50309,43591;100844,87182;101449,98703
MtREV;+G+I+F;132;-50449,58449;101163,16898;101870,02923
MtZoa;+G+I+F;132;-50466,74678;101197,49356;101904,35381
Flu;+G+I+F;132;-50559,29126;101382,58252;102089,44277
HIVb;+G+I+F;132;-50658,97498;101581,94996;102288,81021
AB;+G+I+F;132;-50974,85008;102213,70016;102920,56041
MtArt;+G+I+F;132;-51108,12226;102480,24452;103187,10477
MtMam;+G+I+F;132;-51317,72646;102899,45292;103606,31317
HIVw;+G+I+F;132;-51782,91482;103829,82964;104536,68989
