Model;Decoration;K;Llk;AIC;BIC
VT;+G+F;33;-1752,43172;3570,86344;3673,95425
VT;+G+I+F;34;-1751,36822;3570,73644;3676,95121
JTT;+G+I+F;34;-1752,27410;3572,54820;3678,76297
LG;+G+I+F;34;-1752,51535;3573,03070;3679,24547
WAG;+G+I+F;34;-1754,05211;3576,10422;3682,31899
LG;+G;14;-1774,88360;3577,76720;3621,50269
LG;+G+I;15;-1773,88130;3577,76260;3624,62205
JTT;+G+I;15;-1773,69879;3577,39758;3624,25703
VT;+G+I;15;-1774,19009;3578,38018;3625,23963
VT;+G;14;-1775,91330;3579,82660;3623,56209
CpREV;+G+I;15;-1776,21997;3582,43994;3629,29939
Blosum62;+G+I;15;-1777,17371;3584,34742;3631,20687
CpREV;+G+I+F;34;-1758,09574;3584,19148;3690,40625
WAG;+G+I;15;-1778,70201;3587,40402;3634,26347
Blosum62;+G+I+F;34;-1760,12297;3588,24594;3694,46071
Dayhoff;+G+I+F;34;-1762,90175;3593,80350;3700,01827
DCMut;+G+I+F;34;-1762,86002;3593,72004;3699,93481
RtREV;+G+I+F;34;-1762,71282;3593,42564;3699,64041
MtZoa;+G+I+F;34;-1768,22417;3604,44834;3710,66311
RtREV;+G+I;15;-1790,52460;3611,04920;3657,90865
HIVb;+G+I+F;34;-1774,24887;3616,49774;3722,71251
Dayhoff;+G+I;15;-1794,29178;3618,58356;3665,44301
DCMut;+G+I;15;-1794,24900;3618,49800;3665,35745
Flu;+G+I+F;34;-1775,89733;3619,79466;3726,00943
HIVb;+G+I;15;-1795,06084;3620,12168;3666,98113
MtREV;+G+I+F;34;-1776,70675;3621,41350;3727,62827
AB;+G+I+F;34;-1784,75492;3637,50984;3743,72461
MtArt;+G+I+F;34;-1785,90060;3639,80120;3746,01597
Flu;+G+I;15;-1814,31120;3658,62240;3705,48185
MtMam;+G+I+F;34;-1795,13776;3658,27552;3764,49029
MtZoa;+G+I;15;-1817,85483;3665,70966;3712,56911
HIVw;+G+I+F;34;-1800,15859;3668,31718;3774,53195
AB;+G+I;15;-1835,99987;3701,99974;3748,85919
MtREV;+G+I;15;-1843,06460;3716,12920;3762,98865
HIVw;+G+I;15;-1852,41722;3734,83444;3781,69389
MtArt;+G+I;15;-1855,03940;3740,07880;3786,93825
MtMam;+G+I;15;-1865,42988;3760,85976;3807,71921
