Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;33;-8552,34409;17170,68818;17322,21341
JTT;+G+I+F;34;-8551,77984;17171,55968;17327,67658
JTT;+G+I;15;-8603,45712;17236,91424;17305,78934
JTT;+G;14;-8604,60609;17237,21218;17301,49561
WAG;+G+F;33;-8593,95587;17253,91174;17405,43697
LG;+G+F;33;-8596,47425;17258,94850;17410,47373
VT;+G+F;33;-8597,33407;17260,66814;17412,19337
CpREV;+G+F;33;-8618,61762;17303,23524;17454,76047
HIVb;+G+F;33;-8623,45915;17312,91830;17464,44353
Flu;+G+F;33;-8624,51897;17315,03794;17466,56317
Dayhoff;+G+F;33;-8632,91528;17331,83056;17483,35579
DCMut;+G+F;33;-8633,70575;17333,41150;17484,93673
MtREV;+G+F;33;-8641,18102;17348,36204;17499,88727
LG;+G;14;-8665,58447;17359,16894;17423,45237
LG;+G+I;15;-8665,44261;17360,88522;17429,76032
RtREV;+G+F;33;-8658,39419;17382,78838;17534,31361
Blosum62;+G+F;33;-8664,19076;17394,38152;17545,90675
MtZoa;+G+F;33;-8665,06128;17396,12256;17547,64779
CpREV;+G;14;-8688,48979;17404,97958;17469,26301
Blosum62;+G;14;-8731,06590;17490,13180;17554,41523
MtMam;+G+F;33;-8734,44521;17534,89042;17686,41565
AB;+G+F;33;-8735,43110;17536,86220;17688,38743
HIVw;+G+F;33;-8737,24269;17540,48538;17692,01061
MtArt;+G+F;33;-8795,40865;17656,81730;17808,34253
