Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;37;-13380,84670;26835,69340;27015,46030
LG;+G+I+F;38;-13380,84490;26837,68980;27022,31527
JTT;+G+F;37;-13383,56524;26841,13048;27020,89738
LG;+G;18;-13411,90717;26859,81434;26947,26851
LG;+G+I;19;-13411,90993;26861,81986;26954,13259
WAG;+G+F;37;-13399,01530;26872,03060;27051,79750
VT;+G+F;37;-13414,62493;26903,24986;27083,01676
CpREV;+G+F;37;-13419,01516;26912,03032;27091,79722
VT;+G;18;-13451,39749;26938,79498;27026,24915
RtREV;+G+F;37;-13445,04276;26964,08552;27143,85242
CpREV;+G;18;-13466,94974;26969,89948;27057,35365
HIVb;+G+F;37;-13474,41563;27022,83126;27202,59816
Dayhoff;+G+F;37;-13485,28462;27044,56924;27224,33614
DCMut;+G+F;37;-13485,85229;27045,70458;27225,47148
Blosum62;+G+F;37;-13504,48677;27082,97354;27262,74044
Flu;+G+F;37;-13505,89840;27085,79680;27265,56370
Blosum62;+G;18;-13533,55272;27103,10544;27190,55961
MtREV;+G+F;37;-13532,64781;27139,29562;27319,06252
MtZoa;+G+F;37;-13534,78816;27143,57632;27323,34322
AB;+G+F;37;-13601,10778;27276,21556;27455,98246
MtMam;+G+F;37;-13640,31393;27354,62786;27534,39476
MtArt;+G+F;37;-13679,73752;27433,47504;27613,24194
HIVw;+G+F;37;-13718,99572;27511,99144;27691,75834
