Model;Decoration;K;Llk;AIC;BIC
LG;+G+I;303;-118129,02439;236864,04878;238565,03584
LG;+G;302;-118134,79987;236873,59974;238568,97298
LG;+G+I+F;322;-118156,25365;236956,50730;238764,15691
LG;+G+F;321;-118160,16667;236962,33334;238764,36913
WAG;+G+I+F;322;-118254,87708;237153,75416;238961,40377
VT;+G+I;303;-118400,86629;237407,73258;239108,71964
VT;+G+I+F;322;-118390,84804;237425,69608;239233,34569
WAG;+G+I;303;-118485,54736;237577,09472;239278,08178
JTT;+G+I+F;322;-118502,64108;237649,28216;239456,93177
JTT;+G+I;303;-118523,59563;237653,19126;239354,17832
CpREV;+G+I+F;322;-118737,59723;238119,19446;239926,84407
RtREV;+G+I+F;322;-118819,88201;238283,76402;240091,41363
CpREV;+G+I;303;-118955,88875;238517,77750;240218,76456
Blosum62;+G+I;303;-118975,16215;238556,32430;240257,31136
Blosum62;+G+I+F;322;-119055,19739;238754,39478;240562,04439
Dayhoff;+G+I+F;322;-119056,94167;238757,88334;240565,53295
DCMut;+G+I+F;322;-119059,31910;238762,63820;240570,28781
MtZoa;+G+I+F;322;-119402,90540;239449,81080;241257,46041
MtREV;+G+I+F;322;-119795,34877;240234,69754;242042,34715
Dayhoff;+G+I;303;-119862,95962;240331,91924;242032,90630
Flu;+G+I+F;322;-120075,68465;240795,36930;242603,01891
HIVb;+G+I+F;322;-120554,03992;241752,07984;243559,72945
Flu;+G+I;303;-120685,34578;241976,69156;243677,67862
MtZoa;+G+I;303;-120819,53397;242245,06794;243946,05500
HIVb;+G+I;303;-120922,44286;242450,88572;244151,87278
MtArt;+G+I+F;322;-120919,91461;242483,82922;244291,47883
AB;+G+I+F;322;-121331,02654;243306,05308;245113,70269
MtMam;+G+I+F;322;-122128,41496;244900,82992;246708,47953
HIVw;+G+I+F;322;-123178,22709;247000,45418;248808,10379
MtArt;+G+I;303;-123264,21001;247134,42002;248835,40708
