Model;Decoration;K;Llk;AIC;BIC
JTT;+G;38;-14952,88973;29981,77946;30163,06945
JTT;+G+I;39;-14952,47090;29982,94180;30169,00258
WAG;+G+F;57;-14935,43134;29984,86268;30256,79767
LG;+G+F;57;-14937,52060;29989,04120;30260,97619
VT;+G+F;57;-14950,15230;30014,30460;30286,23959
JTT;+G+F;57;-14955,56090;30025,12180;30297,05679
JTT;+G+I+F;58;-14955,51632;30027,03264;30303,73842
WAG;+G;38;-14985,25985;30046,51970;30227,80969
VT;+G;38;-14989,46311;30054,92622;30236,21621
LG;+G;38;-14991,43453;30058,86906;30240,15905
LG;+G+I;39;-14991,38762;30060,77524;30246,83602
CpREV;+G+F;57;-14982,64217;30079,28434;30351,21933
RtREV;+G+F;57;-15013,15386;30140,30772;30412,24271
CpREV;+G;38;-15039,08468;30154,16936;30335,45935
Blosum62;+G+F;57;-15023,93555;30161,87110;30433,80609
Dayhoff;+G+F;57;-15029,35042;30172,70084;30444,63583
DCMut;+G+F;57;-15029,74616;30173,49232;30445,42731
Blosum62;+G;38;-15065,58529;30207,17058;30388,46057
MtREV;+G+F;57;-15072,25384;30258,50768;30530,44267
MtZoa;+G+F;57;-15086,94322;30287,88644;30559,82143
HIVb;+G+F;57;-15111,53002;30337,06004;30608,99503
Flu;+G+F;57;-15137,65769;30389,31538;30661,25037
AB;+G+F;57;-15222,44596;30558,89192;30830,82691
MtArt;+G+F;57;-15269,87638;30653,75276;30925,68775
MtMam;+G+F;57;-15287,32453;30688,64906;30960,58405
MtZoa;+G;38;-15339,12454;30754,24908;30935,53907
HIVw;+G+F;57;-15404,86666;30923,73332;31195,66831
