Model;Decoration;K;Llk;AIC;BIC
LG;+G;18;-11788,51071;23613,02142;23701,96284
VT;+G;18;-11788,51765;23613,03530;23701,97672
LG;+G+I;19;-11788,52171;23615,04342;23708,92603
VT;+G+F;37;-11782,62433;23639,24866;23822,07269
LG;+G+F;37;-11783,86221;23641,72442;23824,54845
LG;+G+I+F;38;-11783,87433;23643,74866;23831,51388
WAG;+G+F;37;-11795,41266;23664,82532;23847,64935
RtREV;+G+F;37;-11801,36731;23676,73462;23859,55865
WAG;+G;18;-11833,85440;23703,70880;23792,65022
Blosum62;+G+F;37;-11817,56672;23709,13344;23891,95747
CpREV;+G+F;37;-11819,22694;23712,45388;23895,27791
Blosum62;+G;18;-11839,57051;23715,14102;23804,08244
JTT;+G;18;-11841,71603;23719,43206;23808,37348
Dayhoff;+G+F;37;-11830,72084;23735,44168;23918,26571
DCMut;+G+F;37;-11830,77109;23735,54218;23918,36621
JTT;+G+F;37;-11830,50054;23735,00108;23917,82511
CpREV;+G;18;-11859,86689;23755,73378;23844,67520
MtZoa;+G+F;37;-11861,19188;23796,38376;23979,20779
MtREV;+G+F;37;-11903,22648;23880,45296;24063,27699
MtArt;+G+F;37;-11933,73420;23941,46840;24124,29243
HIVb;+G+F;37;-11958,35162;23990,70324;24173,52727
Flu;+G+F;37;-11966,48591;24006,97182;24189,79585
AB;+G+F;37;-12026,78834;24127,57668;24310,40071
MtMam;+G+F;37;-12041,87563;24157,75126;24340,57529
MtZoa;+G;18;-12131,85569;24299,71138;24388,65280
HIVw;+G+F;37;-12152,85872;24379,71744;24562,54147
MtArt;+G;18;-12278,36557;24592,73114;24681,67256
