Model;Decoration;K;Llk;AIC;BIC
JTT;+G;24;-6831,98007;13711,96014;13819,48120
JTT;+G+I;25;-6831,35759;13712,71518;13824,71629
JTT;+G+F;43;-6820,39217;13726,78434;13919,42625
JTT;+G+I+F;44;-6819,88439;13727,76878;13924,89074
VT;+G;24;-6841,00682;13730,01364;13837,53470
LG;+G+F;43;-6829,36432;13744,72864;13937,37055
LG;+G;24;-6850,16994;13748,33988;13855,86094
LG;+G+I;25;-6850,04636;13750,09272;13862,09383
VT;+G+F;43;-6832,02335;13750,04670;13942,68861
WAG;+G+F;43;-6839,77497;13765,54994;13958,19185
WAG;+G;24;-6860,35506;13768,71012;13876,23118
RtREV;+G+F;43;-6846,76137;13779,52274;13972,16465
CpREV;+G+F;43;-6857,79308;13801,58616;13994,22807
CpREV;+G;24;-6883,63175;13815,26350;13922,78456
Blosum62;+G;24;-6885,40108;13818,80216;13926,32322
MtREV;+G+F;43;-6872,41133;13830,82266;14023,46457
Blosum62;+G+F;43;-6876,76199;13839,52398;14032,16589
Dayhoff;+G+F;43;-6878,76875;13843,53750;14036,17941
DCMut;+G+F;43;-6878,62590;13843,25180;14035,89371
MtZoa;+G+F;43;-6880,83839;13847,67678;14040,31869
HIVb;+G+F;43;-6898,27317;13882,54634;14075,18825
RtREV;+G;24;-6932,69121;13913,38242;14020,90348
DCMut;+G;24;-6933,86654;13915,73308;14023,25414
Dayhoff;+G;24;-6934,05523;13916,11046;14023,63152
Flu;+G+F;43;-6915,62177;13917,24354;14109,88545
AB;+G+F;43;-6917,62055;13921,24110;14113,88301
Flu;+G;24;-6954,39266;13956,78532;14064,30638
MtMam;+G+F;43;-6935,60974;13957,21948;14149,86139
HIVb;+G;24;-6958,76639;13965,53278;14073,05384
MtArt;+G+F;43;-6949,41401;13984,82802;14177,46993
HIVw;+G+F;43;-7009,09286;14104,18572;14296,82763
AB;+G;24;-7043,91647;14135,83294;14243,35400
MtZoa;+G;24;-7092,97217;14233,94434;14341,46540
HIVw;+G;24;-7155,63966;14359,27932;14466,80038
MtREV;+G;24;-7159,32396;14366,64792;14474,16898
MtArt;+G;24;-7216,78206;14481,56412;14589,08518
MtMam;+G;24;-7235,16504;14518,33008;14625,85114
