Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;392;-94512,56069;189809,12138;192096,97832
JTT;+G+F;391;-94515,76500;189813,53000;192095,55057
VT;+G+I+F;392;-94641,05442;190066,10884;192353,96578
JTT;+G+I;373;-94662,56049;190071,12098;192248,08690
JTT;+G;372;-94666,08570;190076,17140;192247,30095
LG;+G+I+F;392;-94691,16038;190166,32076;192454,17770
WAG;+G+I+F;392;-94788,83634;190361,67268;192649,52962
LG;+G+I;373;-94871,69400;190489,38800;192666,35392
LG;+G;372;-94876,38140;190496,76280;192667,89235
CpREV;+G+I+F;392;-95107,10952;190998,21904;193286,07598
RtREV;+G+I+F;392;-95217,62723;191219,25446;193507,11140
Blosum62;+G+I+F;392;-95219,26986;191222,53972;193510,39666
Dayhoff;+G+I+F;392;-95288,99381;191361,98762;193649,84456
DCMut;+G+I+F;392;-95289,70666;191363,41332;193651,27026
Blosum62;+G+I;373;-95396,78278;191539,56556;193716,53148
CpREV;+G+I;373;-95453,20835;191652,41670;193829,38262
MtZoa;+G+I+F;392;-95604,61844;191993,23688;194281,09382
Flu;+G+I+F;392;-95791,48781;192366,97562;194654,83256
HIVb;+G+I+F;392;-95847,00581;192478,01162;194765,86856
MtREV;+G+I+F;392;-95938,28358;192660,56716;194948,42410
AB;+G+I+F;392;-96506,27612;193796,55224;196084,40918
MtArt;+G+I+F;392;-96914,38439;194612,76878;196900,62572
HIVw;+G+I+F;392;-97388,26043;195560,52086;197848,37780
MtMam;+G+I+F;392;-97432,25397;195648,50794;197936,36488
