Model;Decoration;K;Llk;AIC;BIC
VT;+G+F;49;-21395,94720;42889,89440;43140,19836
VT;+G+I+F;50;-21395,98463;42891,96926;43147,38146
WAG;+G+F;49;-21414,18375;42926,36750;43176,67146
JTT;+G+F;49;-21417,80932;42933,61864;43183,92260
JTT;+G;30;-21442,98405;42945,96810;43099,21542
LG;+G+F;49;-21432,34053;42962,68106;43212,98502
VT;+G;30;-21454,81243;42969,62486;43122,87218
VT;+G+I;31;-21454,84234;42971,68468;43130,04024
CpREV;+G+F;49;-21470,64917;43039,29834;43289,60230
RtREV;+G+F;49;-21480,90911;43059,81822;43310,12218
Blosum62;+G+F;49;-21487,04894;43072,09788;43322,40184
LG;+G;30;-21529,95032;43119,90064;43273,14796
LG;+G+I;31;-21529,99502;43121,99004;43280,34560
Dayhoff;+G+F;49;-21541,75006;43181,50012;43431,80408
DCMut;+G+F;49;-21541,55681;43181,11362;43431,41758
CpREV;+G;30;-21597,11766;43254,23532;43407,48264
MtREV;+G+F;49;-21619,36284;43336,72568;43587,02964
HIVb;+G+F;49;-21626,31536;43350,63072;43600,93468
Flu;+G+F;49;-21647,66829;43393,33658;43643,64054
MtZoa;+G+F;49;-21653,27167;43404,54334;43654,84730
AB;+G+F;49;-21761,01807;43620,03614;43870,34010
MtArt;+G+F;49;-21836,02709;43770,05418;44020,35814
MtMam;+G+F;49;-21869,46208;43836,92416;44087,22812
HIVw;+G+F;49;-21918,98329;43935,96658;44186,27054
